Está satisfeito com a ferramenta DreamShaper?;Quais são os seus 3 aspectos preferidos da ferramenta? Aspecto visual;Quais são os seus 3 aspectos preferidos da ferramenta? Navegação na ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta? Modelo de negócios;Quais são os seus 3 aspectos preferidos da ferramenta? Indicações de interface;Quais são os seus 3 aspectos preferidos da ferramenta? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta? Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta? Acesso a recursos externos;Quais são os seus 3 aspectos preferidos da ferramenta? Outro (especifique);E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas; E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Acesso a recursos externos;E quais são os 3 aspectos que menos gosta? Outro (especifique);Quanto aprendeu com a DreamShaper?
Muito Satisfeito;Aspecto visual;;;;;Modelo de negócios;;;;;;modelo financeiro;;Navegação na ferramenta;;;;;;Mural de equipa;Gestão de equipa;;;;Aprendi imenso!
Muito Satisfeito;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;Modelo de negócios;;;Gestão de equipa;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;;Navegação na ferramenta;;;Vídeos;;;;Gestão de equipa;;;;;;Perguntas;;;;;Mural de equipa;;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi alguma coisa
Muito Satisfeito;;;;;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;;;;;Vídeos;;Indicações de interface;Mural de equipa;;;;;Aprendi bastante
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;falta de clareza no progresso.;Aprendi bastante
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;Aspecto visual;;;;;;;;Gestão de equipa;;Acesso a recursos externos;na verdade não é não gostar, mas como é uma resposta obrigatória coloquei os que talvez pudessem melhorar minimamente. A comparar com outras plataformas com um propósito semelhante a dreamshaper está bastante melhor.;Aprendi alguma coisa
;;;;;;;;;;;;;;;;;;;;;;;;;
Satisfeito;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;Exemplos;;;;;;;Acesso a recursos externos;;Aprendi bastante
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;Aspecto visual;;;;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;Gestão de equipa;Gestão de projectos;Acesso a recursos externos;nenhum, gosto imenso da ferramenta. foi uma excelente escolha. mas tive de escolher 3;Aprendi imenso!
Muito Satisfeito;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;;Perguntas;Exemplos;;;;;;;Acesso a recursos externos;;Aprendi imenso!
Muito Satisfeito;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi imenso!
Nem satisfeito nem insatisfeito;Aspecto visual;;;;Vídeos;;;;;;;Logout;Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;Logout;Aprendi alguma coisa
Muito Satisfeito;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;;Aprendi alguma coisa
Muito Satisfeito;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;Acesso a recursos externos;;Aprendi alguma coisa
Muito Satisfeito;;;;;;Modelo de negócios;Indicações de interface;;;Gestão de projectos;;;;;Perguntas;Exemplos;;;;;;;Acesso a recursos externos;;Aprendi imenso!
Muito Satisfeito;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Aprendi, mas pouco
Muito Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;Aspecto visual;;;;Vídeos;;Indicações de interface;;;;;;Aprendi bastante
Muito Satisfeito;Aspecto visual;;;;Vídeos;;Indicações de interface;;;;;;;Navegação na ferramenta;Perguntas;;;;;;;;Acesso a recursos externos;;Aprendi imenso!
Muito insatisfeito;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;;;;Exemplos;Vídeos;;;;Gestão de equipa;;;;Aprendi imenso!
Muito Satisfeito;;;;Exemplos;Vídeos;;;;;Gestão de projectos;;;;;;;;Modelo de negócios;;;Gestão de equipa;;Acesso a recursos externos;;Aprendi alguma coisa
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;;;Perguntas;;;;Indicações de interface;Mural de equipa;;;;;Aprendi bastante
Satisfeito;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;Mural de equipa;;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;Exemplos;;;;;;Gestão de projectos;Acesso a recursos externos;;Aprendi alguma coisa
Muito Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;Mural de equipa;;;;;;;Perguntas;Exemplos;;;;;;;Acesso a recursos externos;;Aprendi bastante
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;Aspecto visual;;;Exemplos;;;Indicações de interface;;;;;;Aprendi imenso!
Satisfeito;;;Perguntas;;Vídeos;;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;Acesso a recursos externos;;Aprendi imenso!
Muito insatisfeito;Aspecto visual;;;;Vídeos;;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;Mural de equipa;Gestão de equipa;;;;Aprendi bastante
Muito Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;;;;;Acesso a recursos externos;Vídeos (o narrador em português de Portugal não tem expressão nem dicção);Aprendi bastante
Muito Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de interface;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Aprendi bastante
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;;Navegação na ferramenta;;Exemplos;;;;;;;;Intuitividade geral da ferramenta;Aspecto visual;;;;Vídeos;;;Mural de equipa;;;;Falta de opções no grafismo das impressões.;Aprendi imenso!
Muito insatisfeito;;Navegação na ferramenta;;;Vídeos;;;Mural de equipa;;;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;nada mais;Aprendi bastante
Satisfeito;Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;;Perguntas;;;;;Mural de equipa;;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de interface;;;;;;Aprendi imenso!
Muito Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;;Aprendi imenso!
Muito Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;;Gestão de equipa;;;;;;;Exemplos;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi imenso!
Muito Satisfeito;Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;Perguntas;;;Modelo de negócios;;;;;Acesso a recursos externos;Por vezes as questões não estão claras suficientemente.;Aprendi alguma coisa
Satisfeito;Aspecto visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;Exemplos;Vídeos;;Indicações de interface;;;;;;Aprendi alguma coisa
Satisfeito;Aspecto visual;;;;;;;;;Gestão de projectos;Acesso a recursos externos;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;Mais vídeos com mais exemplos.;Aprendi bastante
Satisfeito;Aspecto visual;;;Exemplos;;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi alguma coisa
Muito Satisfeito;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;Perguntas;;;;;Mural de equipa;;;Acesso a recursos externos;plano financeiro é um pouco confuso;Aprendi imenso!
Satisfeito;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi bastante
Muito insatisfeito;;;Perguntas;;Vídeos;;;;;;;A forma invisível como conduz subtilmente o utilizador a estruturar as sua ideias e a desenhar o seu projecto.;;;;;;;Indicações de interface;Mural de equipa;Gestão de equipa;;;;Aprendi imenso!
Satisfeito;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;;;;;;Indicações de interface;;;Gestão de projectos;Acesso a recursos externos;plano financeiro pouco detalhado;Aprendi alguma coisa
Satisfeito;Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;;;;;;Indicações de interface;Mural de equipa;Gestão de equipa;;;Foi colocada uma questão no local indicado, mas nunca foi respondida.;Aprendi imenso!
Muito insatisfeito;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;;Mural de equipa;;;Acesso a recursos externos;;Aprendi bastante
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;;;Perguntas;;Vídeos;;;;;;Acesso a recursos externos;;Aprendi imenso!
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito insatisfeito;;;Perguntas;Exemplos;;;;;;Gestão de projectos;;;Aspecto visual;;;;Vídeos;;;;;;Acesso a recursos externos;;Aprendi imenso!
Satisfeito;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;Aspecto visual;;;;;Modelo de negócios;;Mural de equipa;;;;Perguntas que ficam ocultas e em fases seguintes nao correspondem ao texto que fica visivel e o facto de o texto ser uma ma traduçao de outra lingua ou brasileiro;Aprendi imenso!
Muito Satisfeito;Aspecto visual;;;Exemplos;;;;;;Gestão de projectos;;;;;Perguntas;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi imenso!
Satisfeito;;;;;;Modelo de negócios;;Mural de equipa;;Gestão de projectos;;;;Navegação na ferramenta;;;Vídeos;;Indicações de interface;;;;;Sendo um concurso em Portugal não me pareceu bem os vídeos em Brasileiro;Aprendi imenso!
Satisfeito;;;;Exemplos;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;Indicações de interface;Mural de equipa;;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;;;;Vídeos;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi bastante
Nem satisfeito nem insatisfeito;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;Perguntas;;Vídeos;;;;;Gestão de projectos;;Não está adequada a todos os projectos, nomeadamente para plataformas on-line;Aprendi alguma coisa
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;;;;Exemplos;;Modelo de negócios;;;;Gestão de projectos;;;;;;;Vídeos;;;;Gestão de equipa;;Acesso a recursos externos;"Os vídeos podiam ser menos ""apresentados"", menos focados na pessoa que apresenta os vídeos e mais utilizados no seu todo para demonstrar com grafismos simplificados mas visuais o que se pretende; parece-nos mais útil utilizar a memória visual para entender relações gráficas e de cálculos do que recordar a figura do mentor ou do moderador que apresenta o vídeo.";Aprendi imenso!
Muito Satisfeito;Aspecto visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;;Aprendi imenso!
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Perguntas;Exemplos;;;;;;Gestão de projectos;;;Aprendi imenso!
Satisfeito;;;;;;Modelo de negócios;Indicações de interface;;;Gestão de projectos;;;;Navegação na ferramenta;;Exemplos;;;;;;;Acesso a recursos externos;;Aprendi bastante
Muito Satisfeito;;;Perguntas;;Vídeos;Modelo de negócios;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Aprendi alguma coisa
Muito Satisfeito;;;;Exemplos;;;;Mural de equipa;;Gestão de projectos;;;Aspecto visual;Navegação na ferramenta;;;;;;;;;Acesso a recursos externos;Não dá para escolher outro: limitação de caracteres;Aprendi imenso!
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;Modelo de negócios;Indicações de interface;;;;Acesso a recursos externos;;Aprendi imenso!
Satisfeito;;;Perguntas;;Vídeos;Modelo de negócios;;;;;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;Acesso a recursos externos;Faltam facilidades de exportação de todos os conteúdos inseridos.;Aprendi alguma coisa
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Perguntas;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi alguma coisa
Muito Satisfeito;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;;;Perguntas;;;;Indicações de interface;;Gestão de equipa;;;;Aprendi bastante
Satisfeito;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;;Modelo de negócios;;;;Gestão de projectos;Acesso a recursos externos;;Aprendi bastante
Muito Satisfeito;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Aprendi imenso!
Satisfeito;Aspecto visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;;;;;Indicações de interface;;;Gestão de projectos;Acesso a recursos externos;;Aprendi alguma coisa
;;;;;;;;;;;;;;;;;;;;;;;;;
Muito Satisfeito;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;Aspecto visual;;;;Vídeos;;;;Gestão de equipa;;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;Aspecto visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Acesso a recursos externos;;Aprendi bastante
Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;Aspecto visual;;;;;;Indicações de interface;;Gestão de equipa;;;;Aprendi bastante
Muito Satisfeito;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;Perguntas;;;;;Mural de equipa;Gestão de equipa;;;;Aprendi imenso!
Muito Satisfeito;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Aspecto visual;;Perguntas;Exemplos;;;;;;;;;Aprendi bastante
Muito Satisfeito;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;Navegação na ferramenta;;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi imenso!
Satisfeito;Aspecto visual;Navegação na ferramenta;;;;;Indicações de interface;;;;;;;;;;;Modelo de negócios;;;;Gestão de projectos;Acesso a recursos externos;;Aprendi, mas pouco
Muito Satisfeito;Aspecto visual;;;Exemplos;Vídeos;;;;;;;;;;Perguntas;;;;Indicações de interface;;;;Acesso a recursos externos;;Aprendi bastante
Insatisfeito;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;;;;Vídeos;;Indicações de interface;;;Gestão de projectos;;Videos/termos, em alguns casos, em brasileiro.;Não aprendi nada
