Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito);Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual;Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta;Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas;Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos;Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos;Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de negócios;Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface;Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa;Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos;Quais são os seus 3 aspectos preferidos da ferramenta ? Outros;E quais são os 3 aspectos que menos gosta? Aspecto visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Vídeos;E quais são os 3 aspectos que menos gosta? Modelo de negócios;E quais são os 3 aspectos que menos gosta? Indicações de interface;E quais são os 3 aspectos que menos gosta? Mural de equipa;E quais são os 3 aspectos que menos gosta? Gestão de equipa;E quais são os 3 aspectos que menos gosta? Gestão de projectos;E quais são os 3 aspectos que menos gosta? Outros;Quanto aprendeu com a DreamShaper?
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;Vídeos;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
3;Aspecto Visual;;;;;Modelo de negócios;;;;;;;Navegação na ferramenta;Perguntas;;;;;;;Gestão de projectos;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;Gestão de projectos;;;;;;Vídeos;;Indicações de Interface;;Gestão de equipa;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;Perguntas;;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;Perguntas;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;Bastante
3;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;;;;;;;;;Vídeos;;;Mural de equipa;;Gestão de projectos;;Pouco
4;Aspecto Visual;;;Exemplos;;Modelo de negócios;;;;;;;;;;;;Indicações de Interface;Mural de equipa;;Gestão de projectos;;Bastante
1;;;;;;;;;;;......;Aspeto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;Nada
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;;;;;;;Mural de equipa;;;;Bastante
3;;;;;;;;;;Gestão de projectos;;;;;;;;;;;;falta de um contacto direto;Imenso
3;Aspecto Visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;;Vídeos;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;;Exemplos;;;;;;Gestão de projectos;falta de modelos de negocio;Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;;;;;;Este modelo tem a vantagem de concretizar os passos de forma estruturante;;;;;;;Indicações de Interface;Mural de equipa;;Gestão de projectos;;Alguma coisa
3;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;Perguntas;;;;;;Gestão de equipa;;Não ter um canal mais acessível para esclarecimento de dúvidas e orientação no decorrer das fases.;Bastante
3;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;;;;;;;;;Bastante
3;;;;Exemplos;;;Indicações de Interface;;;;;;;Perguntas;;;;;;;Gestão de projectos;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Alguma coisa
3;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;Gestão de equipa;Gestão de projectos;;;;;;;;Indicações de Interface;;;;;Alguma coisa
3;;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;;;;;;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Bastante
3;Aspecto Visual;;;Exemplos;;;Indicações de Interface;;;;;;;Perguntas;;Vídeos;;;;Gestão de equipa;;;Bastante
4;;;Perguntas;Exemplos;Vídeos;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;Aspeto Visual;Navegação na ferramenta;;;;;;Mural de equipa;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;;;;;Nenhum;Bastante
3;;;;;;;;;;Gestão de projectos;;;;Perguntas;Exemplos;;;;;;;as edições anteriores ainda estarem em funcionamento.;Alguma coisa
3;;Navegação na ferramenta;;;;;;;;;;;;Perguntas;;Vídeos;;;Mural de equipa;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;;;;;;;Considero a ferramenta muito boa;Bastante
3;;;;Exemplos;;;;;;;;Aspeto Visual;;Perguntas;;;;;Mural de equipa;;;;Alguma coisa
3;Aspecto Visual;;;;;;;;;;;;;;;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;Alguma coisa
3;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;;;;;;;;;Imenso
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;Mural de equipa;Gestão de equipa;Gestão de projectos;;;;Perguntas;Exemplos;Vídeos;;;;;;;Bastante
3;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;;;Perguntas;;;;Indicações de Interface;;;;não funciona sem ser com Chrome;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de projectos;;;;Perguntas;;Vídeos;;Indicações de Interface;;;;;Alguma coisa
4;Aspecto Visual;;;;Vídeos;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;;Navegação na ferramenta;Perguntas;;;;;;Gestão de equipa;;;Bastante
4;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;;;;Aspeto Visual;Navegação na ferramenta;;;;;;;;;na verdade não tenho nada a apontar, as restantes respostas foram colocadas por pura imposição;Bastante
4;;;;;;Modelo de negócios;;;;;;;;;;;;;;;;Não há.;Alguma coisa
4;Aspecto Visual;;;;;;Indicações de Interface;;;;;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;;;;;;Gestão de equipa;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;;Vídeos;;;;;;;Bastante
4;;Navegação na ferramenta;;Exemplos;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;;;Perguntas;;Vídeos;;;Mural de equipa;;;;Alguma coisa
3;Aspecto Visual;;;;;;;;;;;;;Perguntas;;Vídeos;;;Mural de equipa;;;;Bastante
4;Aspecto Visual;;Perguntas;Exemplos;Vídeos;;;;;;;;;;Exemplos;;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;;;;;;;;;impossibilidade de colocar parágrafos, o que torna a leitura mais difícil;Alguma coisa
4;;;;;Vídeos;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;Aspeto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;Bastante
4;Aspecto Visual;;Perguntas;;Vídeos;Modelo de negócios;Indicações de Interface;;Gestão de equipa;Gestão de projectos;;;Navegação na ferramenta;;Exemplos;;;;Mural de equipa;;;;Imenso
2;Aspecto Visual;;;;;;;;;;;;Navegação na ferramenta;;;;;;;;;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;Gestão de equipa;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;;;;;Vídeos;;Indicações de Interface;;;Gestão de projectos;;Bastante
4;;;Perguntas;Exemplos;;Modelo de negócios;Indicações de Interface;;Gestão de equipa;;;Aspeto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;Bastante
3;Aspecto Visual;;Perguntas;;;Modelo de negócios;;;;;;;;Perguntas;;;Modelo de negócios;Indicações de Interface;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;;;Exemplos;;;Indicações de Interface;;;;;Bastante
4;;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de projectos;;;;;Exemplos;Vídeos;;;Mural de equipa;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;Gestão de equipa;;;;;;;;;Indicações de Interface;;;;;Imenso
4;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Bastante
4;Aspecto Visual;;Perguntas;;;Modelo de negócios;;;;;;;;;;;;;;;;acho muito interessante esse projecto, é uma oportunidade para jovem por em pratica os seus sonhos e ideias, não vejo a hora de por as minhas ideias na pratica;Bastante
4;Aspecto Visual;;;Exemplos;Vídeos;;;;;;;;;Perguntas;;;;;Mural de equipa;Gestão de equipa;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;;;;;Gestão de projectos;;;;Perguntas;;Vídeos;;Indicações de Interface;;;;;Bastante
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;Indicações de Interface;;;;;Aspeto Visual;;;;;;;Mural de equipa;Gestão de equipa;;;Imenso
2;Aspecto Visual;;;;;;;;;;;;;Perguntas;;;Modelo de negócios;Indicações de Interface;;;;;Alguma coisa
3;;;;Exemplos;Vídeos;;Indicações de Interface;;;;;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;Bastante
4;;Navegação na ferramenta;;;Vídeos;;Indicações de Interface;;;;;Aspeto Visual;;;Exemplos;;;;;Gestão de equipa;;;Alguma coisa
4;;;;;Vídeos;Modelo de negócios;Indicações de Interface;;;;;;;Perguntas;;;;;;;;;Imenso
3;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
4;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;Gestão de projectos;;;;Perguntas;;;;;;;;;Imenso
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;Alguma coisa
4;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;Aspeto Visual;;;;;;;;;;só podia ser mais tom claro, de resto esta bem concebido;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;Perguntas;;;Modelo de negócios;;;;;;Alguma coisa
3;Aspecto Visual;;;;;;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;Alguma coisa
4;;;;;;Modelo de negócios;;;Gestão de equipa;Gestão de projectos;;Aspeto Visual;;Perguntas;Exemplos;;;;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;;Exemplos;;;Indicações de Interface;;;Gestão de projectos;;Bastante
4;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;;;Vídeos;;Indicações de Interface;Mural de equipa;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;Perguntas;;;;;;;;;Bastante
4;;;;Exemplos;;Modelo de negócios;Indicações de Interface;;;;;;;Perguntas;;;;;;;;;Alguma coisa
3;;Navegação na ferramenta;;;;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;Modelo de negócios;Indicações de Interface;;;;;;;Perguntas;;;;;;;;;Bastante
4;;Navegação na ferramenta;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;;;;Exemplos;;;;;;;;Bastante
3;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;Perguntas;;;;;;;;;Alguma coisa
3;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;Perguntas;;;;Indicações de Interface;;;Gestão de projectos;;Alguma coisa
4;;;;Exemplos;Vídeos;;;;;;;;Navegação na ferramenta;;;;;;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;Bastante
4;Aspecto Visual;;;Exemplos;Vídeos;;;;Gestão de equipa;;;;;;;;Modelo de negócios;Indicações de Interface;Mural de equipa;;;;Bastante
3;;;;Exemplos;Vídeos;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
3;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;Perguntas;;;;;;;;as perguntas são por vezes dificeis de enquadrar no nosso projeto;Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;Gestão de projectos;;;;Perguntas;;;Modelo de negócios;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;;Perguntas;Exemplos;Vídeos;;;;;;;;;Perguntas;;;;Indicações de Interface;Mural de equipa;;;;Bastante
4;Aspecto Visual;;;Exemplos;Vídeos;;;;;Gestão de projectos;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Imenso
4;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;Imenso
3;;;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;Exemplos;;;Indicações de Interface;Mural de equipa;;;;Alguma coisa
3;;Navegação na ferramenta;Perguntas;Exemplos;Vídeos;;;;;;;;;;;;;;Mural de equipa;;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;Orientação dos elementos principais para desenvolver uma ideia de negócio;;;;;;Modelo de negócios;;Mural de equipa;;;A título de sugestão, o mural poderia ser editável para pormos o nosso logo, slogan e uma imagem do produto ou ideia, mas está muito claro e virado para o utilizador inexperiente em negócios :);Imenso
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
3;;;Perguntas;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;;;;;Aspeto Visual;Navegação na ferramenta;;;;;;;;;explicações de alguns tarefas;Bastante
2;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;Perguntas;Exemplos;;;;;;;"Podia ter mais vídeos; há perguntas pouco esclarecedoras; quase nenhuns exemplos.";Alguma coisa
4;Aspecto Visual;;Perguntas;;Vídeos;;;;;;Organização por etapas;;;;;;;;;;;Nada a apontar;Bastante
4;;;Perguntas;;Vídeos;;;;;;;Aspeto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;Imenso
4;;Navegação na ferramenta;Perguntas;Exemplos;;Modelo de negócios;;;;;;Aspeto Visual;;;;;;Indicações de Interface;;Gestão de equipa;;;Bastante
3;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de projectos;;Bastante
3;;;;Exemplos;Vídeos;Modelo de negócios;;;;;;Aspeto Visual;;;;;;;;;;;Alguma coisa
4;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;Perguntas;;;;Indicações de Interface;Mural de equipa;;;;Alguma coisa
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;Exemplos;;;;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;;;;;Gestão de projectos;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;;;;Indicações de Interface;;Gestão de equipa;;;Bastante
4;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;;;;;;;;Estar pouco adaptado para a prestação de serviços;Imenso
4;;;Perguntas;Exemplos;Vídeos;;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;Mural de equipa;;;;Imenso
4;;;;;Vídeos;Modelo de negócios;;;;;;;;Perguntas;;;;;;Gestão de equipa;Gestão de projectos;;Bastante
3;Aspecto Visual;;;;Vídeos;;;;;;;;;Perguntas;;;Modelo de negócios;;;;;tão poucas letras para tão grande projeto;Bastante
4;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;Gestão de projectos;;Aspeto Visual;;;;;;;Mural de equipa;Gestão de equipa;;;Bastante
3;Aspecto Visual;;Perguntas;;;Modelo de negócios;;;;;;;Navegação na ferramenta;;;Vídeos;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;;;Exemplos;Vídeos;Modelo de negócios;;;;;;;Navegação na ferramenta;;;;;;;Gestão de equipa;;N/A;Bastante
4;Aspecto Visual;;;;;Modelo de negócios;;;;Gestão de projectos;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;;;Vídeos;;;;Gestão de equipa;Gestão de projectos;;Alguma coisa
3;Aspecto Visual;;Perguntas;;;Modelo de negócios;;;;;;;;;Exemplos;;;;Mural de equipa;Gestão de equipa;;;Alguma coisa
4;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;;Exemplos;Vídeos;;Indicações de Interface;;;;;Imenso
4;Aspecto Visual;;;Exemplos;;;Indicações de Interface;;;;;;;;;;;;Mural de equipa;;;;Bastante
4;;Navegação na ferramenta;;;;Modelo de negócios;Indicações de Interface;;;;;;;;;;;;;;;Nenhum;Bastante
;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;Bastante
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Bastante
4;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;;Indicações de Interface;;;;;Bastante
1;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;;;;;;;;Mural de equipa;Gestão de equipa;;Selecionei esta opção para poder avançar porque não tenho aspectos negativos a assinalar;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;Gestão de projectos;;;;;;;;Indicações de Interface;Mural de equipa;Gestão de equipa;;;Bastante
3;;Navegação na ferramenta;;Exemplos;Vídeos;;;;;;;Aspeto Visual;;Perguntas;Exemplos;;;;;;;;Alguma coisa
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;Bastante
3;Aspecto Visual;;Perguntas;;Vídeos;;;;;;;;Navegação na ferramenta;;;;;;;;;Não permitir apenas visualizar sem editar.;Bastante
3;;Navegação na ferramenta;;;;;;;;;;;;Perguntas;;;;;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;Mural de equipa;Gestão de equipa;Gestão de projectos;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;Bastante
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;;;;Facilidade na utilização da plataforma;;;Perguntas;;;;Indicações de Interface;Mural de equipa;;;;Bastante
4;;Navegação na ferramenta;Perguntas;Exemplos;;Modelo de negócios;;;;;;;;;;Vídeos;;Indicações de Interface;Mural de equipa;;;;Alguma coisa
4;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;;;;;;;;;;;;;;;;Poderia ter um FAQ e um dicionario mais completo, tipo wiki;Alguma coisa
4;;Navegação na ferramenta;;;Vídeos;;Indicações de Interface;;;;;;;Perguntas;;;;;;;;;Alguma coisa
4;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;;Exemplos;Vídeos;;Indicações de Interface;;;;;Bastante
4;;;;Exemplos;Vídeos;Modelo de negócios;;;;Gestão de projectos;;;Navegação na ferramenta;;;;;;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;Perguntas;;;Modelo de negócios;Indicações de Interface;;Gestão de equipa;;;Aspeto Visual;;;;Vídeos;;;Mural de equipa;;;;Bastante
4;Aspecto Visual;Navegação na ferramenta;;;Vídeos;Modelo de negócios;Indicações de Interface;Mural de equipa;Gestão de equipa;Gestão de projectos;;;;Perguntas;Exemplos;;;;;;;;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;Vídeos;;;;;;;;;Perguntas;Exemplos;;;;;;;Não funciona em alguns dispositivos nem em alguns Navegadores;Alguma coisa
3;Aspecto Visual;;;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;;;;;;;;Exemplos;Vídeos;;Indicações de Interface;;;;;Bastante
4;;;;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;;;Gestão de projectos;;;;;;;;;;;;nenhum;Bastante
3;Aspecto Visual;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;;;;;Perguntas;Exemplos;Vídeos;;;;;;;Alguma coisa
4;;Navegação na ferramenta;;Exemplos;Vídeos;Modelo de negócios;Indicações de Interface;;;;;;;;;;;;Mural de equipa;Gestão de equipa;Gestão de projectos;;Bastante
4;;Navegação na ferramenta;Perguntas;;;Modelo de negócios;;;;Gestão de projectos;;;;;;;;Indicações de Interface;Mural de equipa;;;Pouco espaço para escrever nas caixas de texto.;Bastante
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de negócios;;;;;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;Bastante
4;;Navegação na ferramenta;;;Vídeos;Modelo de negócios;;Mural de equipa;Gestão de equipa;Gestão de projectos;;Aspeto Visual;;;Exemplos;;;;;;;;Bastante
