Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito);Quais são os aspectos preferidos da ferramenta? Aspecto Visual;Quais são os aspectos preferidos da ferramenta? Navegação na ferramenta;Quais são os aspectos preferidos da ferramenta? Perguntas;Quais são os aspectos preferidos da ferramenta? Exemplos;Quais são os aspectos preferidos da ferramenta? Videos;Quais são os aspectos preferidos da ferramenta? Modelo de Negócio;Quais são os aspectos preferidos da ferramenta? Indicações de Interface;Quais são os aspectos preferidos da ferramenta? Mural da equipa;Quais são os aspectos preferidos da ferramenta? Gestão da Equipa;Quais são os aspectos preferidos da ferramenta? Gestão de Projectos;Quais são os aspectos preferidos da ferramenta? Outro (especifique);;E quais são os 3 aspectos que menos gosta? Aspecto Visual;E quais são os 3 aspectos que menos gosta? Navegação na ferramenta;E quais são os 3 aspectos que menos gosta? Perguntas;E quais são os 3 aspectos que menos gosta? Exemplos;E quais são os 3 aspectos que menos gosta? Videos;E quais são os 3 aspectos que menos gosta? Modelo de Negócio;E quais são os 3 aspectos que menos gosta? Indicações de Interface;E quais são os 3 aspectos que menos gosta? Mural da equipa;E quais são os 3 aspectos que menos gosta? Gestão da Equipa;E quais são os 3 aspectos que menos gosta? Gestão de Projectos;E quais são os 3 aspectos que menos gosta? Outro (especifique);;Quanto aprendeu com a DreamShaper?;;Em que etapa do concurso sentiu mais dificuldade?
4;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;Videos;Modelo de Negócio;Indicações de Interface;Mural da equipa;Gestão da Equipa;Gestão de Projectos;;;;;;;;;;;;;nenhum;;Imenso;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;Navegação na ferramenta;;Exemplos;Videos;;;;;;;;;;;;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;Alguma coisa;;Etapa 2
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de Negócio;;;;;;;;;;;;;;;;;Rigidez do modelo (inevitável dada as diferentes áreas de negócio/empresas concorrentes...);;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
2;;;;;;Modelo de Negócio;;;;;;;;;Perguntas;;;;;Mural da equipa;;;Na parte dirigida à orçamentação são muito pouco explicativos, a maioria dos campos não sabia como preencher devidamente. Como esperam que alguém que nunca soube estimar valores de investimentos faça uma média daquilo que precisa? Os valores parecem irreais. Deveriam ter acompanhamento pessoal. Quanto a ter uma equipa, é ridículo ser desclassificado por não possuir elementos suficientes, se eu fui capaz de estruturar a ideia sozinha quer dizer que pretendo contratar pessoas para a minha empresa.;;Alguma coisa;;Etapa 4
3;;Navegação na ferramenta;Perguntas;;Videos;Modelo de Negócio;;;;;;;;;;;;;Indicações de Interface;Mural da equipa;Gestão da Equipa;;;;Bastante;;Etapa 2
2;;Navegação na ferramenta;;;;;;;;;;;;;;;Videos;;;;;;;;Pouco;;Etapa 2
4;Aspecto Visual;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;;;Modelo de Negócio;Indicações de Interface;;;;A;;Imenso;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;Navegação na ferramenta;;;Videos;;Indicações de Interface;;;;;;;;Perguntas;Exemplos;;;;Mural da equipa;;;;;Bastante;;Etapa 3
4;;Navegação na ferramenta;;;Videos;Modelo de Negócio;;;;Gestão de Projectos;;;;;Perguntas;;;;Indicações de Interface;;Gestão da Equipa;;;;Imenso;;Etapa 4
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de Negócio;;;;;;;;;;;;;;;;;nenhum;;Bastante;;Etapa 4
4;;Navegação na ferramenta;Perguntas;;Videos;Modelo de Negócio;;;;;;;;;;Exemplos;;;;;;;Cálculo dos indicadores financeiros tem um erro no 2º ano;;Bastante;;Etapa 2
4;;;Perguntas;;Videos;;;;;;;;;;;;;;;;;;nada a assinalar;;Alguma coisa;;Etapa 3
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;;;Indicações de Interface;;Gestão da Equipa;Gestão de Projectos;;;Alguma coisa;;Etapa 4
2;;;;Exemplos;Videos;Modelo de Negócio;;;;;;;;;;;;;;;Gestão da Equipa;Gestão de Projectos;contacto visual pelo menos uma vez para acreditar mais....;;Alguma coisa;;Etapa 4
4;Aspecto Visual;Navegação na ferramenta;;;;Modelo de Negócio;;;Gestão da Equipa;;;;;;;Exemplos;Videos;;Indicações de Interface;;;;;;Bastante;;Etapa 3
3;Aspecto Visual;Navegação na ferramenta;;;;;;;;Gestão de Projectos;;;;;;Exemplos;Videos;Modelo de Negócio;;;;;;;Alguma coisa;;Etapa 2
3;;Navegação na ferramenta;Perguntas;;;;;;Gestão da Equipa;Gestão de Projectos;;;Aspecto Visual;;;;;Modelo de Negócio;Indicações de Interface;;;;;;Bastante;;Etapa 4
4;;Navegação na ferramenta;Perguntas;Exemplos;Videos;;;;;Gestão de Projectos;;;;;;;;Modelo de Negócio;Indicações de Interface;;;;estava tudo aceitavelmente bom;;Imenso;;Etapa 4
2;Aspecto Visual;;Perguntas;;;;Indicações de Interface;;;;;;;;;;Videos;;;Mural da equipa;;;;;Pouco;;Etapa 4
4;;Navegação na ferramenta;Perguntas;;;Modelo de Negócio;;;;;;;;Navegação na ferramenta;;Exemplos;;;;;Gestão da Equipa;;;;Bastante;;Etapa 4
4;;;;Exemplos;Videos;;;;Gestão da Equipa;Gestão de Projectos;;;;Navegação na ferramenta;;;;;Indicações de Interface;Mural da equipa;;;;;Bastante;;Etapa 3
4;;;;;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;;;;Exemplos;Videos;;;;;;Nao tenho outro aspecto;;Imenso;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;;;Exemplos;;Modelo de Negócio;;;;Gestão de Projectos;;;;Navegação na ferramenta;;;;;;;;;;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;;;Exemplos;Videos;Modelo de Negócio;;;;Gestão de Projectos;;;;;;;;;Indicações de Interface;Mural da equipa;;;Não está muito vocacionado para serviços;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;;Modelo de Negócio;;;;Gestão de Projectos;;;;;;;Videos;;;;;;;;Alguma coisa;;Etapa 4
3;;;;;;Modelo de Negócio;Indicações de Interface;;;Gestão de Projectos;;;;;;;;;;Mural da equipa;Gestão da Equipa;;darem prioridade a projetos prioritariamente ligados a tecnologia e esquecer outros dominios base que poderiam elevar o mercado;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;Aspecto Visual;;;Exemplos;;Modelo de Negócio;;;;;;;;;;;;;;Mural da equipa;;;;;Imenso;;Etapa 4
4;Aspecto Visual;;Perguntas;Exemplos;Videos;Modelo de Negócio;;Mural da equipa;Gestão da Equipa;Gestão de Projectos;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;Navegação na ferramenta;;Exemplos;Videos;Modelo de Negócio;;;;;;;;;;;;;Indicações de Interface;Mural da equipa;;Gestão de Projectos;;;Imenso;;Etapa 4
2;;;;;;;;;;;Ainda pouco explorado  para ter uma opinião formada.;;;;;;;;;;;;Ainda pouco explorado  para ter uma opinião formada.;;Nada;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;Navegação na ferramenta;Perguntas;;Videos;;;;;;;;;;;Exemplos;;;Indicações de Interface;Mural da equipa;;;;;Alguma coisa;;Etapa 4
4;Aspecto Visual;;;Exemplos;Videos;Modelo de Negócio;;Mural da equipa;Gestão da Equipa;Gestão de Projectos;;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 3
4;;;Perguntas;;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;Aspecto Visual;Navegação na ferramenta;;;;;;Mural da equipa;;;;;Bastante;;Etapa 4
3;;Navegação na ferramenta;;;;Modelo de Negócio;;;;Gestão de Projectos;;;;;;Exemplos;;;;;;;;;Bastante;;Etapa 4
3;;Navegação na ferramenta;;;;Modelo de Negócio;Indicações de Interface;;;;;;;;;Exemplos;;;;;;;;;Alguma coisa;;Etapa 2
3;Aspecto Visual;;;Exemplos;;;;;;Gestão de Projectos;;;;Navegação na ferramenta;;;;;Indicações de Interface;Mural da equipa;;;;;Imenso;;Etapa 4
3;;;Perguntas;Exemplos;;Modelo de Negócio;;;;;;;;;;;;;;;;;Nenhum em particular;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de Projectos;;;;;;Exemplos;;;;;;;;;Bastante;;Etapa 3
4;Aspecto Visual;;;;Videos;;;;;Gestão de Projectos;;;;;;;;;Indicações de Interface;;;;;;Bastante;;Etapa 4
4;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;;;;;;;;;;;;;;;Indicações de Interface;Mural da equipa;Gestão da Equipa;;;;Bastante;;Etapa 3
3;Aspecto Visual;Navegação na ferramenta;;;;Modelo de Negócio;;;;;;;;;;;Videos;;Indicações de Interface;;;Gestão de Projectos;;;Pouco;;Etapa 1
3;;Navegação na ferramenta;Perguntas;;;;;;;;;;;;;Exemplos;Videos;;;Mural da equipa;;;;;Alguma coisa;;Etapa 3
4;;;Perguntas;Exemplos;Videos;Modelo de Negócio;;;;;;;Aspecto Visual;;;;;;Indicações de Interface;Mural da equipa;;;;;Bastante;;Etapa 3
4;;Navegação na ferramenta;;Exemplos;;Modelo de Negócio;;;;Gestão de Projectos;;;Aspecto Visual;;;;;;;Mural da equipa;Gestão da Equipa;;;;Bastante;;Etapa 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Aspecto Visual;Navegação na ferramenta;;;;;;;;Gestão de Projectos;;;;;Perguntas;;Videos;;;Mural da equipa;;;;;Bastante;;Etapa 2
4;;Navegação na ferramenta;;;Videos;Modelo de Negócio;;;;;;;;;;;;;;Mural da equipa;;;;;Imenso;;Etapa 2
3;;;;Exemplos;;Modelo de Negócio;Indicações de Interface;;;;;;;Navegação na ferramenta;Perguntas;;;;;;;;;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Aspecto Visual;;;;Videos;Modelo de Negócio;;;;;;;;;Perguntas;Exemplos;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 4
3;;;Perguntas;Exemplos;;Modelo de Negócio;;;;Gestão de Projectos;;;;;;;Videos;;Indicações de Interface;Mural da equipa;;;;;Bastante;;Etapa 4
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;;;;;;;;;;;;;Videos;;Indicações de Interface;;;Gestão de Projectos;;;Pouco;;Etapa 1
4;;Navegação na ferramenta;Perguntas;;;Modelo de Negócio;;;;;;;Aspecto Visual;;;;;;Indicações de Interface;Mural da equipa;;;;;Imenso;;Etapa 4
4;;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;;;;;Aspecto Visual;;;;;;;Mural da equipa;Gestão da Equipa;;;;Bastante;;Etapa 4
4;;Navegação na ferramenta;;Exemplos;;Modelo de Negócio;;;;;;;;;;;;;Indicações de Interface;Mural da equipa;;;;;Alguma coisa;;Etapa 4
2;;Navegação na ferramenta;;;;;;;;;;;;;Perguntas;;;;Indicações de Interface;;;Gestão de Projectos;;;Alguma coisa;;Etapa 3
3;Aspecto Visual;;;;Videos;;;;;Gestão de Projectos;;;;;Perguntas;Exemplos;;Modelo de Negócio;;;;;;;Bastante;;Etapa 3
4;;;;Exemplos;;Modelo de Negócio;;;;Gestão de Projectos;;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 4
4;;Navegação na ferramenta;;Exemplos;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;;;Perguntas;;;;Indicações de Interface;Mural da equipa;;;;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Aspecto Visual;;;Exemplos;;;;;;;;;;;Perguntas;;;;;;;;;;Bastante;;Etapa 3
3;Aspecto Visual;;;Exemplos;Videos;;;;;;;;;;Perguntas;;;Modelo de Negócio;Indicações de Interface;;;;;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
1;Aspecto Visual;;;;;;;;;Gestão de Projectos;;;;Navegação na ferramenta;;;;;;;;;Deu erro e nunca consegui ter solução para o mesmo, mesmo após contacto com a equipa.;;Pouco;;Etapa 3
4;Aspecto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;;;;;;;;;Mural da equipa;Gestão da Equipa;Gestão de Projectos;;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
3;Aspecto Visual;;;;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;;Navegação na ferramenta;;Exemplos;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 4
3;Aspecto Visual;Navegação na ferramenta;Perguntas;;Videos;Modelo de Negócio;Indicações de Interface;;Gestão da Equipa;Gestão de Projectos;;;;;;Exemplos;;;;;;;;;Alguma coisa;;Etapa 4
3;Aspecto Visual;Navegação na ferramenta;Perguntas;Exemplos;Videos;Modelo de Negócio;;;;;;;;;;;;;;Mural da equipa;;;;;Imenso;;Etapa 4
2;;;Perguntas;Exemplos;;;;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;não foi facil a navegação, pois estava sozinha;;Alguma coisa;;Etapa 2
3;;Navegação na ferramenta;;;;Modelo de Negócio;;;;;;;;;Perguntas;;;;;;;;;;Alguma coisa;;Etapa 4
2;Aspecto Visual;;;;;;;;;;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;Gestão de Projectos;;;Pouco;;Etapa 2
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Aspecto Visual;;;;;Modelo de Negócio;;;;Gestão de Projectos;;;;Navegação na ferramenta;;;;;Indicações de Interface;;;;Oa testes e protótipos não permitem espelhar a realidade e não são totalmente adaptáveis a determinada situações.;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;Aspecto Visual;Navegação na ferramenta;;;;;;;;;;;;;;;Videos;;;;;;;;Bastante;;Etapa 4
4;;Navegação na ferramenta;;;;;;;;;;;;;;Exemplos;Videos;;;;;;Quando o vídeo dizia que se poderia aprender mais no tutorial, não sabia onde estava o mesmo;;Alguma coisa;;Etapa 2
3;Aspecto Visual;;;;;;;;;;;;;;;;;;;;;Gestão de Projectos;;;Alguma coisa;;Etapa 3
3;;;;;;;;;;;não explorei a ferramenta;;;;;;;;;;;;não explorei ainda a ferramenta;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;;;Exemplos;;Modelo de Negócio;;;;Gestão de Projectos;;;Aspecto Visual;;;;;;Indicações de Interface;;Gestão da Equipa;;;;Bastante;;Etapa 4
4;Aspecto Visual;Navegação na ferramenta;;;Videos;;;;;Gestão de Projectos;;;;;;Exemplos;;;Indicações de Interface;Mural da equipa;;;;;Bastante;;Etapa 3
4;Aspecto Visual;;;Exemplos;Videos;Modelo de Negócio;;;;;;;;;Perguntas;;;;Indicações de Interface;;Gestão da Equipa;;;;Imenso;;
3;Aspecto Visual;;;Exemplos;Videos;;Indicações de Interface;;;;;;;Navegação na ferramenta;;;;;;Mural da equipa;;Gestão de Projectos;;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;;;;Videos;Modelo de Negócio;;;;Gestão de Projectos;;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;;Bastante;;Etapa 4
4;;Navegação na ferramenta;;Exemplos;Videos;;;;;;;;;;;;;;;;;;nada;;Alguma coisa;;Etapa 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;Modelo de Negócio;Indicações de Interface;;;Gestão de Projectos;;;;;Perguntas;Exemplos;;;;Mural da equipa;;;;;Bastante;;Etapa 4
3;Aspecto Visual;;;;;;Indicações de Interface;;Gestão da Equipa;Gestão de Projectos;;;Aspecto Visual;;Perguntas;;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 3
2;Aspecto Visual;;;;;;;Mural da equipa;Gestão da Equipa;;;;;Navegação na ferramenta;;;;Modelo de Negócio;Indicações de Interface;;;;;;Pouco;;Etapa 2
3;Aspecto Visual;;;Exemplos;Videos;;;;;;;;Aspecto Visual;;;;;;;;;;;;Alguma coisa;;
3;;;;Exemplos;;Modelo de Negócio;;;;Gestão de Projectos;;;;Navegação na ferramenta;Perguntas;;;;;;;;Não permite explicar bem o projeto, está muito formatado para outro tipo de empresas que não do setor da saúde e educação.;;Bastante;;Etapa 3
3;Aspecto Visual;;;;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;;;;;Videos;;;;;;;;Alguma coisa;;
2;Aspecto Visual;;;;;;;;;;;;;;;;;;;;;Gestão de Projectos;;;Alguma coisa;;Etapa 4
4;Aspecto Visual;Navegação na ferramenta;;Exemplos;;Modelo de Negócio;;;;;;;;;;Exemplos;;;;;Gestão da Equipa;Gestão de Projectos;;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;Navegação na ferramenta;;Exemplos;;;;;;Gestão de Projectos;;;;;Perguntas;;Videos;;;;;;;;Bastante;;Etapa 4
2;Aspecto Visual;;;;;;;;;;;;;;;;;Modelo de Negócio;;;;;;;Alguma coisa;;Etapa 4
3;;;;;;Modelo de Negócio;;;;Gestão de Projectos;;;;;;Exemplos;;;Indicações de Interface;Mural da equipa;;;;;Bastante;;
4;;Navegação na ferramenta;;;;Modelo de Negócio;Indicações de Interface;;;Gestão de Projectos;;;Aspecto Visual;;;Exemplos;Videos;;;;;;;;Bastante;;Etapa 3
4;Aspecto Visual;;Perguntas;;;Modelo de Negócio;;;;;;;;;;;Videos;;;;;;;;Bastante;;Etapa 4
4;;;;Exemplos;Videos;Modelo de Negócio;Indicações de Interface;;;Gestão de Projectos;;;Aspecto Visual;Navegação na ferramenta;;;;;;;Gestão da Equipa;;;;Bastante;;Etapa 4
3;;Navegação na ferramenta;;;;Modelo de Negócio;;;;Gestão de Projectos;;;Aspecto Visual;;;;;;;Mural da equipa;;;"Contacto pouco ""humano""";;Bastante;;Etapa 4
3;Aspecto Visual;Navegação na ferramenta;;Exemplos;;Modelo de Negócio;;;Gestão da Equipa;Gestão de Projectos;;;;;Perguntas;;;;Indicações de Interface;Mural da equipa;;;;;Alguma coisa;;Etapa 3
3;Aspecto Visual;;;;Videos;;;;;;;;;;Perguntas;;;;Indicações de Interface;Mural da equipa;;;;;Alguma coisa;;Etapa 3
4;;;;;Videos;Modelo de Negócio;;;;Gestão de Projectos;;;Aspecto Visual;;;;;;;Mural da equipa;;;tempo para responderem a dúvidas;;Imenso;;Etapa 4
4;Aspecto Visual;;;Exemplos;Videos;Modelo de Negócio;;;;;;;;Navegação na ferramenta;;;;;;;;Gestão de Projectos;;;Bastante;;Etapa 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Aspecto Visual;;Perguntas;;;Modelo de Negócio;;;;;;;;;;Exemplos;Videos;Modelo de Negócio;;;;;;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;Perguntas;;Videos;Modelo de Negócio;;Mural da equipa;Gestão da Equipa;Gestão de Projectos;;;;;;;;;;;;;não tenho opção;;Bastante;;Etapa 3
1;;;;Exemplos;;;;;;;;;;;;;;;;Mural da equipa;;;;;Pouco;;Etapa 4
4;;;;Exemplos;Videos;Modelo de Negócio;;;;;;;Aspecto Visual;Navegação na ferramenta;;;;;Indicações de Interface;;;;;;Bastante;;Etapa 4
4;Aspecto Visual;;;;Videos;Modelo de Negócio;;;;;;;;;;;;;Indicações de Interface;Mural da equipa;;Gestão de Projectos;;;Pouco;;Etapa 4
2;;;;;;Modelo de Negócio;;;;;;;;Navegação na ferramenta;Perguntas;;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 3
4;Aspecto Visual;;;;;Modelo de Negócio;;;;;;;;;Perguntas;;;;;Mural da equipa;Gestão da Equipa;;;;Imenso;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;;;Exemplos;;;;;;Gestão de Projectos;;;Aspecto Visual;Navegação na ferramenta;;;;;;;;Gestão de Projectos;;;Bastante;;Etapa 4
3;;Navegação na ferramenta;;;Videos;Modelo de Negócio;;;;;;;Aspecto Visual;;;;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 4
4;;Navegação na ferramenta;;;Videos;Modelo de Negócio;;;;;;;;;;;;;;;;;nada em especial;;Bastante;;Etapa 4
4;Aspecto Visual;;;Exemplos;Videos;;;;;;;;;;;;;Modelo de Negócio;;Mural da equipa;Gestão da Equipa;;;;Bastante;;Etapa 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;Navegação na ferramenta;;;;Modelo de Negócio;;;;;;;Aspecto Visual;Navegação na ferramenta;;;Videos;;;;;;;;Alguma coisa;;
1;;;;;;;Indicações de Interface;;;;;;Aspecto Visual;Navegação na ferramenta;;;;;;;;Gestão de Projectos;;;Nada;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;;Navegação na ferramenta;Perguntas;Exemplos;;;Indicações de Interface;;;Gestão de Projectos;;;Aspecto Visual;;;;;;;Mural da equipa;Gestão da Equipa;;;;Bastante;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;Navegação na ferramenta;;;;;;;;;;;;;Perguntas;;;;;;;;Quando se é iniciante, não é fácil acompanhar as questões específicas;;Alguma coisa;;Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.
4;Aspecto Visual;;;Exemplos;Videos;;;;;;;;;;;;;Modelo de Negócio;Indicações de Interface;;Gestão da Equipa;;;;Bastante;;Etapa 4
;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Aspecto Visual;;;;;;;;;;;;;;;;;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 2
2;;Navegação na ferramenta;;Exemplos;;;;Mural da equipa;;;;;;;Perguntas;;Videos;;Indicações de Interface;;;;;;Alguma coisa;;Etapa 3
4;;;;;;Modelo de Negócio;;;;;;;;;;Exemplos;Videos;;Indicações de Interface;;;;;;Bastante;;Etapa 4
