Está satisfeito com a ferramenta DreamShaper?,Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Acesso a recursos externos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Acesso a recursos externos,E quais são os 3 aspectos que menos gosta? Outros,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?Encod,Quanto aprendeu com a DreamShaper?Encod
Muito insatisfeito,1,1,0,0,0,0,1,0,0,0,0,,0,0,1,1,1,0,0,0,0,0,0,,Aprendi alguma coisa,1.0,3.0
Muito insatisfeito,0,1,1,0,1,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,0,1,,Aprendi imenso!,1.0,5.0
Satisfeito,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,0,0,0,1,1,0,0,1,"Não tenho indicação nenhuma a apontar neste aspecto. Os 3 aspectos selecionados não correspondem à realidade. Apenas não me deixava avançar se não seleccionassse, apesar de ter já preenchido o campo ""outros""",Aprendi imenso!,4.0,5.0
Muito Satisfeito,1,0,0,0,0,1,0,0,0,0,0,modelo financeiro,0,1,0,0,0,0,0,1,1,0,0,,Aprendi imenso!,5.0,5.0
Muito Satisfeito,0,1,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,1,0,1,,Aprendi bastante,5.0,4.0
Satisfeito,0,1,0,0,1,0,0,0,1,0,0,,0,0,1,0,0,0,0,1,0,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,1,1,0,0,1,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,0,1,,Aprendi alguma coisa,4.0,3.0
Muito Satisfeito,0,0,0,0,0,1,0,0,1,1,0,,0,0,0,0,1,0,1,1,0,0,0,,Aprendi bastante,5.0,4.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,1,1,0,0,falta de clareza no progresso.,Aprendi bastante,5.0,4.0
Satisfeito,1,1,0,0,0,1,0,0,0,0,0,,1,0,0,0,0,0,0,0,1,0,1,"na verdade não é não gostar, mas como é uma resposta obrigatória coloquei os que talvez pudessem melhorar minimamente. A comparar com outras plataformas com um propósito semelhante a dreamshaper está bastante melhor.",Aprendi alguma coisa,4.0,3.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Satisfeito,0,0,1,0,0,1,0,0,0,1,0,,0,1,0,1,0,0,0,0,0,0,1,,Aprendi bastante,4.0,4.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,1,1,"nenhum, gosto imenso da ferramenta. foi uma excelente escolha. mas tive de escolher 3",Aprendi imenso!,5.0,5.0
Muito Satisfeito,0,0,0,0,1,1,0,0,0,1,0,,0,0,1,1,0,0,0,0,0,0,1,,Aprendi imenso!,5.0,5.0
Muito Satisfeito,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,0,1,,Aprendi imenso!,5.0,5.0
Nem satisfeito nem insatisfeito,1,0,0,0,1,0,0,0,0,0,0,Logout,1,1,0,0,1,0,0,0,0,0,0,Logout,Aprendi alguma coisa,3.0,3.0
Muito Satisfeito,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,1,0,1,,Aprendi alguma coisa,5.0,3.0
Muito Satisfeito,0,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,0,0,0,0,1,0,1,,Aprendi alguma coisa,5.0,3.0
Muito Satisfeito,0,0,0,0,0,1,1,0,0,1,0,,0,0,1,1,0,0,0,0,0,0,1,,Aprendi imenso!,5.0,5.0
Muito Satisfeito,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,1,,"Aprendi, mas pouco",5.0,2.0
Muito Satisfeito,0,1,0,0,0,1,0,0,0,1,0,,1,0,0,0,1,0,1,0,0,0,0,,Aprendi bastante,5.0,4.0
Muito Satisfeito,1,0,0,0,1,0,1,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,1,,Aprendi imenso!,5.0,5.0
Muito insatisfeito,0,1,0,0,0,0,1,0,0,0,1,,0,0,0,1,1,0,0,0,1,0,0,,Aprendi imenso!,1.0,5.0
Muito Satisfeito,0,0,0,1,1,0,0,0,0,1,0,,0,0,0,0,0,1,0,0,1,0,1,,Aprendi alguma coisa,5.0,3.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,0,1,0,0,1,0,0,0,0,1,0,,0,0,1,0,0,0,1,1,0,0,0,,Aprendi bastante,5.0,4.0
Satisfeito,0,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,0,0,0,1,0,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,1,,Aprendi alguma coisa,4.0,3.0
Muito Satisfeito,0,1,0,0,0,1,0,1,0,0,0,,0,0,1,1,0,0,0,0,0,0,1,,Aprendi bastante,5.0,4.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,0,1,0,0,1,1,0,0,0,0,0,,1,0,0,1,0,0,1,0,0,0,0,,Aprendi imenso!,5.0,5.0
Satisfeito,0,0,1,0,1,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,1,0,1,,Aprendi imenso!,4.0,5.0
Muito insatisfeito,1,0,0,0,1,0,0,0,0,1,0,,0,1,0,0,0,0,0,1,1,0,0,,Aprendi bastante,1.0,4.0
Muito Satisfeito,0,1,0,0,0,1,0,0,0,1,0,,0,0,0,1,1,0,0,0,0,0,1,Vídeos (o narrador em português de Portugal não tem expressão nem dicção),Aprendi bastante,5.0,4.0
Muito Satisfeito,0,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,1,,Aprendi bastante,5.0,4.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,0,1,0,1,0,0,0,0,0,0,0,Intuitividade geral da ferramenta,1,0,0,0,1,0,0,1,0,0,0,Falta de opções no grafismo das impressões.,Aprendi imenso!,5.0,5.0
Muito insatisfeito,0,1,0,0,1,0,0,1,0,0,0,,0,1,0,0,0,0,1,0,0,0,1,nada mais,Aprendi bastante,1.0,4.0
Satisfeito,1,0,0,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,0,1,0,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,1,0,0,1,1,0,0,0,0,0,0,,0,1,0,0,0,1,1,0,0,0,0,,Aprendi imenso!,4.0,5.0
Muito Satisfeito,0,1,0,0,0,1,0,0,0,1,0,,0,0,0,1,0,0,0,1,1,0,0,,Aprendi imenso!,5.0,5.0
Muito Satisfeito,0,1,0,0,0,1,0,0,1,0,0,,0,0,0,1,0,0,1,0,0,0,1,,Aprendi imenso!,5.0,5.0
Muito Satisfeito,1,1,0,0,1,0,0,0,0,0,0,,0,0,1,0,0,1,0,0,0,0,1,Por vezes as questões não estão claras suficientemente.,Aprendi alguma coisa,5.0,3.0
Satisfeito,1,0,0,0,0,1,0,0,0,1,0,,0,0,0,1,1,0,1,0,0,0,0,,Aprendi alguma coisa,4.0,3.0
Satisfeito,1,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,1,1,0,0,1,Mais vídeos com mais exemplos.,Aprendi bastante,4.0,4.0
Satisfeito,1,0,0,1,0,1,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,1,,Aprendi alguma coisa,4.0,3.0
Muito Satisfeito,0,1,0,0,1,1,0,0,0,0,0,,0,0,1,0,0,0,0,1,0,0,1,plano financeiro é um pouco confuso,Aprendi imenso!,5.0,5.0
Satisfeito,1,0,1,1,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,1,,Aprendi bastante,4.0,4.0
Muito insatisfeito,0,0,1,0,1,0,0,0,0,0,0,A forma invisível como conduz subtilmente o utilizador a estruturar as sua ideias e a desenhar o seu projecto.,0,0,0,0,0,0,1,1,1,0,0,,Aprendi imenso!,1.0,5.0
Satisfeito,1,0,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,1,1,plano financeiro pouco detalhado,Aprendi alguma coisa,4.0,3.0
Satisfeito,1,0,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,1,1,1,0,0,"Foi colocada uma questão no local indicado, mas nunca foi respondida.",Aprendi imenso!,4.0,5.0
Muito insatisfeito,0,0,0,0,1,1,0,0,0,1,0,,0,1,0,0,0,0,0,1,0,0,1,,Aprendi bastante,1.0,4.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,0,1,0,1,0,0,0,0,0,1,0,,0,0,1,0,1,0,0,0,0,0,1,,Aprendi imenso!,5.0,5.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito insatisfeito,0,0,1,1,0,0,0,0,0,1,0,,1,0,0,0,1,0,0,0,0,0,1,,Aprendi imenso!,1.0,5.0
Satisfeito,0,1,0,1,1,0,0,0,0,0,0,,1,0,0,0,0,1,0,1,0,0,0,Perguntas que ficam ocultas e em fases seguintes nao correspondem ao texto que fica visivel e o facto de o texto ser uma ma traduçao de outra lingua ou brasileiro,Aprendi imenso!,4.0,5.0
Muito Satisfeito,1,0,0,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,1,0,0,0,1,,Aprendi imenso!,5.0,5.0
Satisfeito,0,0,0,0,0,1,0,1,0,1,0,,0,1,0,0,1,0,1,0,0,0,0,Sendo um concurso em Portugal não me pareceu bem os vídeos em Brasileiro,Aprendi imenso!,4.0,5.0
Satisfeito,0,0,0,1,0,1,0,0,0,1,0,,0,0,0,0,0,0,1,1,0,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,1,1,0,0,0,0,0,0,0,1,0,,0,0,0,0,1,0,1,0,0,0,1,,Aprendi bastante,4.0,4.0
Nem satisfeito nem insatisfeito,1,1,0,1,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,1,0,"Não está adequada a todos os projectos, nomeadamente para plataformas on-line",Aprendi alguma coisa,3.0,3.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,0,0,0,1,0,1,0,0,0,1,0,,0,0,0,0,1,0,0,0,1,0,1,"Os vídeos podiam ser menos ""apresentados"", menos focados na pessoa que apresenta os vídeos e mais utilizados no seu todo para demonstrar com grafismos simplificados mas visuais o que se pretende; parece-nos mais útil utilizar a memória visual para entender relações gráficas e de cálculos do que recordar a figura do mentor ou do moderador que apresenta o vídeo.",Aprendi imenso!,5.0,5.0
Muito Satisfeito,1,0,1,0,0,1,0,0,0,0,0,,0,0,0,1,1,0,0,1,0,0,0,,Aprendi imenso!,5.0,5.0
Satisfeito,1,1,0,0,0,1,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,1,0,,Aprendi imenso!,4.0,5.0
Satisfeito,0,0,0,0,0,1,1,0,0,1,0,,0,1,0,1,0,0,0,0,0,0,1,,Aprendi bastante,4.0,4.0
Muito Satisfeito,0,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,1,0,,Aprendi alguma coisa,5.0,3.0
Muito Satisfeito,0,0,0,1,0,0,0,1,0,1,0,,1,1,0,0,0,0,0,0,0,0,1,Não dá para escolher outro: limitação de caracteres,Aprendi imenso!,5.0,5.0
Satisfeito,1,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,1,1,0,0,0,1,,Aprendi imenso!,4.0,5.0
Satisfeito,0,0,1,0,1,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,0,1,Faltam facilidades de exportação de todos os conteúdos inseridos.,Aprendi alguma coisa,4.0,3.0
Satisfeito,1,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,1,,Aprendi alguma coisa,4.0,3.0
Muito Satisfeito,0,1,0,1,0,0,0,0,0,1,0,,0,0,1,0,0,0,1,0,1,0,0,,Aprendi bastante,5.0,4.0
Satisfeito,0,1,0,1,1,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,1,,Aprendi bastante,4.0,4.0
Muito Satisfeito,0,1,0,1,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,1,0,1,,Aprendi imenso!,5.0,5.0
Satisfeito,1,1,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,1,1,,Aprendi alguma coisa,4.0,3.0
,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,,
Muito Satisfeito,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,0,0,0,0,1,1,0,1,,Aprendi bastante,5.0,4.0
Satisfeito,1,0,0,0,1,0,0,0,1,0,0,,0,1,0,0,0,0,1,0,0,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,1,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,1,,Aprendi bastante,4.0,4.0
Satisfeito,0,1,0,0,0,1,0,0,0,1,0,,1,0,0,0,0,0,1,0,1,0,0,,Aprendi bastante,4.0,4.0
Muito Satisfeito,0,1,0,0,0,1,0,0,0,1,0,,0,0,1,0,0,0,0,1,1,0,0,,Aprendi imenso!,5.0,5.0
Muito Satisfeito,0,0,0,0,1,1,0,0,0,1,0,,1,0,1,1,0,0,0,0,0,0,0,,Aprendi bastante,5.0,4.0
Muito Satisfeito,0,0,0,0,1,1,0,0,0,1,0,,0,1,0,0,0,0,1,0,0,0,1,,Aprendi imenso!,5.0,5.0
Satisfeito,1,1,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,0,1,1,,"Aprendi, mas pouco",4.0,2.0
Muito Satisfeito,1,0,0,1,1,0,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,1,,Aprendi bastante,5.0,4.0
Insatisfeito,0,1,0,1,0,1,0,0,0,0,0,,0,0,0,0,1,0,1,0,0,1,0,"Videos/termos, em alguns casos, em brasileiro.",Não aprendi nada,2.0,1.0
