"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Outros,Quanto aprendeu com a DreamShaper?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
4,0,0,1,1,1,1,0,0,0,0,,1,0,0,0,0,0,1,0,0,0,A minha falta de prática em navegar nas plataformas,Bastante,4,4.0
2,0,0,1,0,0,1,0,0,0,1,,1,1,0,0,0,0,1,0,0,0,,Alguma coisa,2,3.0
3,0,1,1,0,0,1,0,0,0,0,,1,0,0,0,0,0,0,1,1,0,,Alguma coisa,3,3.0
2,1,1,0,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,Falta de alerta sobre prazos,Alguma coisa,2,3.0
4,1,0,0,0,1,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,1,,Bastante,4,4.0
2,1,1,0,0,0,0,1,0,0,0,,0,0,1,1,0,1,0,0,0,0,,Pouco,2,2.0
3,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,dificuldade de entender termos,Bastante,3,4.0
4,0,1,1,0,0,1,0,0,0,0,,1,0,0,1,0,0,1,0,0,0,,Bastante,4,4.0
3,0,0,0,1,0,1,1,0,0,0,,0,1,1,0,0,0,0,0,0,0,"de vez em quando vem abaixo, não grava o que escrevemos e obriga a escrever de novo tudo",Alguma coisa,3,3.0
3,0,1,0,1,0,0,0,0,0,0,,1,0,0,1,0,0,1,0,0,0,,Bastante,3,4.0
4,1,0,0,0,1,1,0,0,0,1,,0,1,0,1,0,0,0,0,0,0,,Imenso,4,5.0
4,0,1,0,0,1,0,0,0,0,1,,0,1,0,0,0,0,1,0,0,0,Encontrar facilmente os temas,Imenso,4,5.0
4,0,0,1,0,1,1,0,0,0,1,,0,1,0,1,0,0,0,0,0,0,Tradução do idioma,Imenso,4,5.0
3,0,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,,Alguma coisa,3,3.0
3,1,1,0,0,1,0,0,0,0,1,,0,0,0,1,0,0,1,1,0,0,,Bastante,3,4.0
4,1,1,1,1,1,0,0,0,1,0,,0,0,0,0,0,0,1,1,0,0,Gostei de tudo....,Bastante,4,4.0
4,1,0,1,1,1,1,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,Pareceu-me não ser posser possível alterar dados introduzidos em secções anteriores,Bastante,4,4.0
4,1,0,0,0,0,1,0,0,0,0,sequencia lógica eficaz de introdução de dados,0,1,0,0,0,0,0,0,0,0,simulação de resultados torna-se trabalhoso,Pouco,4,2.0
4,0,1,1,1,0,1,0,0,0,1,,0,0,0,0,1,0,1,1,0,0,,Imenso,4,5.0
3,0,1,0,0,1,0,0,0,0,1,,0,1,0,0,1,1,0,0,0,0,,Bastante,3,4.0
3,0,0,0,1,1,0,0,0,1,0,,0,1,0,0,0,0,1,0,0,0,existe algumas limitações para alguns projectos específicos,Alguma coisa,3,3.0
4,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,1,0,1,0,0,0,,Bastante,4,4.0
4,1,0,1,0,1,0,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,,Bastante,4,4.0
4,1,1,0,1,1,1,0,0,0,0,,0,0,0,1,0,0,1,0,1,0,,Alguma coisa,4,3.0
4,0,1,0,0,0,1,0,0,1,0,,1,0,0,0,0,0,1,0,0,0,O tempo que demora a concluir,Bastante,4,4.0
4,1,0,0,1,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,1,1,,Alguma coisa,4,3.0
4,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Não tenho aspetos que goste menos,Imenso,4,5.0
3,0,1,0,0,0,1,0,0,0,1,,1,0,0,1,1,0,0,0,0,0,,Bastante,3,4.0
4,0,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Não consigo identificar aspetos que goste menos ou não goste,Bastante,4,4.0
4,1,1,0,1,0,1,0,0,0,0,,0,0,1,0,0,0,1,0,1,0,,Imenso,4,5.0
4,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,,Bastante,4,4.0
4,1,1,0,1,0,1,1,0,0,0,,0,0,0,0,0,0,0,1,1,1,,Bastante,4,4.0
4,0,0,1,1,1,0,0,0,0,0,,1,0,0,0,0,0,1,1,0,0,,Imenso,4,5.0
4,0,0,0,0,1,1,0,0,1,0,,0,1,1,0,0,0,0,0,0,1,,Imenso,4,5.0
3,0,0,0,1,0,0,1,1,0,0,,0,1,0,0,0,0,0,0,1,1,,Bastante,3,4.0
4,0,0,0,1,0,1,1,0,0,0,,1,0,1,0,0,0,0,1,0,0,,Imenso,4,5.0
3,0,0,0,0,0,1,0,1,0,0,,0,0,1,1,1,0,0,0,0,0,,Alguma coisa,3,3.0
3,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,Alguma coisa,3,3.0
3,0,0,0,1,1,0,0,0,0,0,,0,0,1,0,0,0,0,0,1,1,,Bastante,3,4.0
4,1,1,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,1,0,1,0,,Imenso,4,5.0
4,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,1,0,1,0,0,0,,Bastante,4,4.0
4,1,0,1,0,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,1,1,,Bastante,4,4.0
4,1,0,0,1,1,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,nenhum,Imenso,4,5.0
4,1,1,0,0,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,,Alguma coisa,4,3.0
4,1,1,0,1,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,1,1,,Alguma coisa,4,3.0
3,1,1,0,1,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,"O pdf exportado está desformatado com os textos cortados, não sai com o texto todo.",Imenso,3,5.0
4,1,1,1,0,0,1,1,0,0,0,,0,0,0,1,0,0,1,1,0,0,,Imenso,4,5.0
4,1,1,1,0,1,0,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,"Tendo a página aberta algum tempo se clicar em ""próximo"", perde-se tudo o que se fez pois vai para o ecrã de login.",Bastante,4,4.0
4,1,1,0,0,0,1,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,nada mais a reclamar.,Bastante,4,4.0
3,1,1,0,1,1,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,1,,Alguma coisa,3,3.0
4,0,1,0,1,1,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,"Só tive dificuldade para compreender expressões como ""contratar co-fundador""",Imenso,4,5.0
4,0,1,1,1,1,1,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,Bastante,4,4.0
4,0,0,1,0,0,1,1,0,0,0,,0,0,0,0,0,0,0,1,0,0,,Bastante,4,4.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,1,1,0,0,,Bastante,4,4.0
3,1,0,0,1,1,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,,Imenso,3,5.0
3,0,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,1,1,,Alguma coisa,3,3.0
4,1,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,1,1,0,0,,Bastante,4,4.0
4,1,0,0,0,0,1,0,0,1,0,,0,1,0,1,0,0,0,0,0,0,Simplicidade das demonstrações e projecções financeiras finais,Alguma coisa,4,3.0
3,1,1,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,1,0,1,0,,Alguma coisa,3,3.0
4,0,0,0,0,1,1,0,0,0,1,,0,0,0,1,0,0,0,0,0,0,,Imenso,4,5.0
4,0,0,1,1,1,1,1,0,0,0,,1,1,0,0,0,0,0,0,1,0,,Bastante,4,4.0
4,0,1,0,0,1,0,0,0,0,1,,0,0,1,0,0,0,1,1,0,0,,Imenso,4,5.0
4,1,0,0,1,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,Imenso,4,5.0
4,0,0,0,0,0,1,1,0,0,1,,0,0,1,1,0,0,0,0,0,0,Nenhum,Imenso,4,5.0
4,0,1,1,0,0,1,0,0,0,1,,1,0,0,0,0,0,0,1,1,0,,Bastante,4,4.0
4,1,0,0,0,1,0,1,0,0,0,,1,0,0,0,1,1,0,0,0,0,,Imenso,4,5.0
3,1,1,0,0,1,1,1,0,0,1,,0,0,1,1,0,0,0,1,0,0,,Bastante,3,4.0
3,1,1,1,1,1,1,1,1,0,1,,0,1,0,0,0,0,0,1,1,0,,Imenso,3,5.0
3,0,0,0,1,1,1,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,,Bastante,3,4.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,,Alguma coisa,4,3.0
3,1,0,0,1,1,1,1,0,0,0,,0,1,1,0,1,0,0,0,0,0,,Imenso,3,5.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,1,0,1,0,Lentidão/indisponibilidade sentida no funcionamento da aplicação,Bastante,4,4.0
3,0,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,Interactividade,Bastante,3,4.0
3,0,0,0,0,0,1,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,,Pouco,3,2.0
4,0,1,0,1,1,1,1,0,1,1,,1,0,1,0,0,0,0,1,0,0,,Imenso,4,5.0
4,1,0,0,1,0,0,1,0,1,1,,0,1,1,0,1,0,0,0,0,0,,Bastante,4,4.0
4,0,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,,Bastante,4,4.0
3,0,0,1,0,1,1,0,0,0,1,,0,1,0,0,0,0,1,0,0,0,na,Alguma coisa,3,3.0
3,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,Terminologia que por vezes não é identificada por quem está a iniciar um projecto,Imenso,3,5.0
4,1,0,1,1,0,0,0,0,0,0,,0,0,0,0,1,0,1,1,0,0,,Alguma coisa,4,3.0
4,1,1,0,1,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,,Imenso,4,5.0
4,0,0,0,0,0,0,0,0,0,0,"simples de usar, apesar de completa",0,1,0,0,0,0,0,0,0,0,,Bastante,4,4.0
4,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Nada a destacar,Bastante,4,4.0
4,0,1,0,1,0,0,0,0,0,1,,0,0,0,0,1,0,1,1,0,0,,Imenso,4,5.0
4,0,1,0,0,0,1,0,0,0,1,,0,0,0,0,0,0,1,0,0,0,voltar a abrir o que há foi feito,Imenso,4,5.0
4,0,1,0,1,1,0,0,1,1,1,,1,0,1,0,0,0,1,0,0,0,,Bastante,4,4.0
4,0,1,0,0,1,1,0,0,0,0,,1,0,0,1,0,0,1,0,0,0,,Imenso,4,5.0
3,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,1,configuraçoes,Alguma coisa,3,3.0
4,0,1,1,1,0,1,0,0,0,1,,0,0,0,0,0,0,0,1,1,0,não posso dizer que não gosto de mais nada...,Imenso,4,5.0
4,0,0,1,1,1,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,,Bastante,4,4.0
4,1,0,0,1,0,0,0,0,0,0,Prático e intuitivo com a informação bem organizada,0,1,0,0,0,0,0,1,0,0,Lentidão de acesso nalgumas situações,Bastante,4,4.0
4,0,1,0,1,1,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,Não existe nenhum aspecto negativo.,Bastante,4,4.0
3,0,1,0,0,0,1,0,0,0,1,,1,0,1,0,1,0,0,0,0,0,,Imenso,3,5.0
3,1,1,0,0,1,0,0,0,1,1,,0,0,0,1,0,0,0,0,0,0,,Bastante,3,4.0
4,1,0,0,1,0,1,0,0,0,1,,0,1,0,0,0,0,1,0,1,0,,Bastante,4,4.0
3,1,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,,Bastante,3,4.0
3,1,1,0,0,1,0,0,0,0,0,,0,0,1,1,0,1,0,0,0,0,,Alguma coisa,3,3.0
4,0,0,0,1,1,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,,Imenso,4,5.0
4,1,1,0,0,0,1,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,,Bastante,4,4.0
3,1,0,1,0,0,1,0,0,0,0,,0,1,0,0,0,1,0,0,0,1,,Bastante,3,4.0
4,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,0,1,0,0,,Bastante,4,4.0
3,1,1,0,0,0,1,1,0,0,0,,0,0,0,1,0,0,0,1,0,0,,Bastante,3,4.0
3,1,0,1,1,0,0,0,0,0,0,,0,1,0,0,1,0,1,0,0,0,,Bastante,3,4.0
3,1,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,1,,Alguma coisa,3,3.0
1,0,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Nada em particular,Bastante,1,4.0
3,0,1,0,1,1,1,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,nem sempre ter tido acesso aos videos de workshops,Bastante,3,4.0
4,1,1,0,0,1,1,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,não tenho nada que desgoste!,Imenso,4,5.0
4,1,1,1,1,1,1,1,1,1,1,,0,0,0,0,0,0,0,0,0,0,O Plano de Marketing podia ser mais detalhado,Imenso,4,5.0
3,1,1,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,1,1,1,,Bastante,3,4.0
3,1,0,0,1,0,1,0,0,0,1,,0,1,0,0,0,0,0,0,0,0,,Bastante,3,4.0
4,0,0,1,0,1,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,penso que a plataforma esta excelente apesar de alguns problemas de servidor e vlocidades de carregamentos. nada a apontar 5*****,Bastante,4,4.0
3,1,0,0,1,1,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,Limitação de número de caracteres para desenvolver as ideias,Bastante,3,4.0
4,1,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,A parte em que é preciso inserir números não está userfriendly,Imenso,4,5.0
3,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,,Bastante,3,4.0
4,0,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,apagar com facilidade o que já foi gravado,Imenso,4,5.0
3,0,0,1,1,1,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,Pouco suporte para projectos/situações que vão além no nível de complexidade dos exemplos apresentados,Bastante,3,4.0
4,1,1,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,Nada a apontar,Alguma coisa,4,3.0
4,1,1,0,0,1,1,0,0,0,0,Facilidade de elaboração do projeto,0,0,1,1,0,0,0,0,0,1,,Bastante,4,4.0
3,1,1,0,1,1,1,0,0,0,1,,0,0,1,0,0,0,0,0,0,0,,Bastante,3,4.0
4,1,1,1,0,1,1,0,0,0,0,,1,0,1,1,0,0,0,0,0,0,,Bastante,4,4.0
4,1,0,1,0,1,1,0,0,1,1,,0,0,0,1,0,0,0,0,0,0,Limitação de caracteres.,Bastante,4,4.0
3,1,1,1,0,1,1,0,0,0,0,a informação introduzida é imediatamente e continuamente guardada e disponibilizada em pdf...,0,1,0,0,0,0,0,0,0,0,outputs obtidos (e.g. ficheiro PDF é algo redutor)...,Bastante,3,4.0
4,0,1,0,0,0,1,0,0,0,1,,0,0,1,1,1,0,0,0,0,0,,Bastante,4,4.0
3,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,Alguma coisa,3,3.0
4,0,0,0,1,1,0,0,0,0,0,Abordagem iterativa,0,0,0,0,0,0,0,1,1,0,Tempo de sessão aberta (quando expira fazemos alterações que não ficam efetivadas e têm que se voltar a fazer),Bastante,4,4.0
4,1,1,1,1,1,1,1,0,0,0,Um modelo simples com orientação passo a passo por etapas. Os conteúdos ficam organizados e com análise de dados.,0,0,0,0,0,0,0,0,0,0,nenhum,Alguma coisa,4,3.0
3,0,1,0,1,0,1,1,0,0,1,,1,0,0,0,1,0,0,0,0,0,,Imenso,3,5.0
4,1,1,0,0,1,1,1,0,0,1,,0,0,1,0,0,0,0,0,1,0,Nada mais a apontar,Imenso,4,5.0
4,1,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,nenhum em particular,Bastante,4,4.0
4,0,1,0,0,1,1,0,0,0,1,,1,0,1,0,0,0,1,0,0,0,,Bastante,4,4.0
4,0,0,0,0,1,0,1,0,0,1,,1,0,1,1,0,0,0,0,0,0,,Bastante,4,4.0
4,0,1,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,Nada a apontar,Imenso,4,5.0
4,0,0,1,0,0,1,0,0,0,1,,0,0,0,0,0,0,0,1,1,0,Não tenho outra,Bastante,4,4.0
3,0,1,0,0,0,1,0,0,0,0,,1,0,0,0,1,0,0,0,0,1,,Alguma coisa,3,3.0
3,1,0,0,1,0,0,0,0,1,0,,0,0,1,0,0,1,0,0,0,0,"Inadequação de alguns parâmetros ao projecto, deixando lacunas sobre o mesmo.",Bastante,3,4.0
3,0,0,0,1,1,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,Grafismo,Bastante,3,4.0
2,0,0,0,1,1,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,1,,Alguma coisa,2,3.0
4,0,0,1,1,1,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,1,,Bastante,4,4.0
4,0,0,0,1,0,1,0,0,0,1,,0,0,0,0,0,0,1,0,1,0,identificação das próximas fases.,Bastante,4,4.0
4,1,0,0,0,1,0,1,0,0,0,,0,0,0,0,0,1,0,1,1,0,,Bastante,4,4.0
4,1,0,0,1,1,0,0,0,0,0,,0,1,1,0,0,0,1,0,0,0,,Bastante,4,4.0
4,0,0,0,0,1,0,1,0,0,1,,0,1,1,1,0,0,0,0,0,0,,Alguma coisa,4,3.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,Por vezes lento na navegação,Imenso,4,5.0
4,1,0,1,1,1,1,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,Imenso,4,5.0
4,0,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,Mais nada a apontar,Bastante,4,4.0
4,1,1,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,1,1,0,0,"Não tem um botão em que possa ir salvando a informação, e por vezes perde a informação. A informação no mural é sob a forma de post, então se colocar algo com um erro só colocar novo, não dá para editar",Imenso,4,5.0
4,0,0,1,1,1,0,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,Falta de exemplos e orientação para projetos sociais,Bastante,4,4.0
3,1,1,0,0,0,0,1,0,0,1,Eficácia na organização e metodologia de conjunto.,0,0,1,1,0,0,0,0,0,0,"Nas questões financeiras deveria ser mais específico, e menos generalista.",Alguma coisa,3,3.0
3,1,1,0,0,0,1,0,0,0,0,,0,0,0,1,1,0,0,0,0,1,,Alguma coisa,3,3.0
2,0,0,0,0,1,0,1,0,1,0,,0,1,0,0,0,0,0,1,0,1,,Alguma coisa,2,3.0
4,0,1,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,,Imenso,4,5.0
4,1,0,0,1,1,1,0,0,0,1,"O facto de ser intuitivo e de simplificar procedimentos e expressões mais técnicas,  tornando o processo acessível a qualquer pessoa",0,0,0,0,0,0,0,0,0,0,Poderia haver um espaço que permitisse mais interação entre os participantes,Bastante,4,4.0
4,1,0,0,0,1,1,0,0,0,0,,0,1,0,1,0,0,0,1,0,0,,Bastante,4,4.0
4,0,0,0,0,0,1,1,0,0,1,,1,1,0,0,0,0,0,0,0,0,tenho dificuldade em apresentar outro aspecto,Bastante,4,4.0
4,1,1,0,1,1,1,0,0,0,1,,0,0,0,0,1,0,0,0,0,0,Perder informação de vez em quando (não gravava),Bastante,4,4.0
3,0,1,0,0,1,1,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,Dificuldade em obter respostas em relação à dúvidas específicas,Bastante,3,4.0
4,0,0,0,1,1,1,0,0,0,0,,0,1,0,0,0,0,1,0,1,0,,Bastante,4,4.0
4,1,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,,Imenso,4,5.0
4,0,0,0,1,1,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,"Parece-me muito funcional, especialmente o fato de não apagar o texto mesmo sem gravar",Bastante,4,4.0
4,1,1,1,1,1,1,1,0,0,1,"Mentor virtual assertivo, claro e intuitivo",0,0,0,0,0,0,0,1,1,0,Ausência de contacto directo por voz,Alguma coisa,4,3.0
4,0,1,0,1,1,1,0,0,0,0,,1,0,1,0,0,0,0,0,1,0,,Bastante,4,4.0
4,1,1,1,0,0,1,0,0,0,1,,0,0,0,0,0,0,1,1,1,0,,Imenso,4,5.0
3,1,1,0,0,0,1,1,0,0,0,,0,0,0,1,1,0,0,0,0,0,Deveria ter um pouco mais de espaço em alguns campos. 300 caracteres por vezes não chegam.,Imenso,3,5.0
4,0,0,0,0,1,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,Algumas dificuldades quanto ao voltar atrás para corrigir algo.,Alguma coisa,4,3.0
4,0,1,0,1,1,1,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,A velocidade no caso de sobrecarga do servidor.,Alguma coisa,4,3.0
3,1,1,1,1,1,0,0,0,0,0,,0,0,0,1,0,1,0,0,0,0,"Alguns gráficos não apareciam corretamente, e informação no modelo de negócios devia ser mais detalhada",Imenso,3,5.0
3,0,0,0,1,1,0,0,0,0,1,,1,0,0,0,0,0,1,1,0,0,,Bastante,3,4.0
3,1,0,0,1,1,0,0,0,0,0,,0,0,1,0,0,1,1,0,0,0,,Alguma coisa,3,3.0
4,0,1,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,1,1,0,1,,Bastante,4,4.0
4,1,0,1,0,1,0,0,0,0,0,,0,1,0,1,0,0,1,0,0,0,,Imenso,4,5.0
3,1,1,0,1,1,0,0,0,0,0,,0,0,1,0,0,0,1,0,0,0,Na fase final do projeto bloqueou várias vezes,Bastante,3,4.0
4,0,0,0,0,1,1,1,0,0,0,,1,0,1,0,0,0,0,0,1,0,,Bastante,4,4.0
3,0,1,1,0,0,0,0,0,0,1,,0,1,0,0,0,0,1,0,1,0,,Alguma coisa,3,3.0
4,0,1,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,1,1,0,0,,Bastante,4,4.0
3,1,1,0,0,1,0,0,0,0,1,,0,0,0,0,0,0,1,1,1,0,,Alguma coisa,3,3.0
4,1,1,0,1,0,1,1,0,1,1,,0,0,1,0,1,0,0,1,0,0,,Bastante,4,4.0
3,0,0,1,1,0,1,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,,Bastante,3,4.0
4,0,1,0,0,1,0,0,0,0,1,,0,0,1,1,0,0,0,0,0,0,restrição de caracteres,Bastante,4,4.0
4,0,1,0,0,1,0,1,0,0,0,,0,1,1,0,0,1,0,0,0,0,,Imenso,4,5.0
3,0,1,0,0,0,0,1,0,0,1,,0,0,1,1,1,0,0,0,0,0,,Bastante,3,4.0
4,1,1,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,,Bastante,4,4.0
