Está satisfeito com a ferramenta DreamShaper?,Positivos:Resumo do negócio,Positivos:Modelo de negócios,Positivos:Indicações de interface,Positivos:Navegação na ferramenta,Positivos:Aspecto visual,Positivos:Exemplos,Positivos:Perguntas,Positivos:Vídeos,Positivos:Gestão de Equipa,Positivos:Acesso a recursos externos,Negativos:Resumo do negócio,Negativos:Modelo de negócios,Negativos:Indicações de interface,Negativos:Navegação na ferramenta,Negativos:Aspecto visual,Negativos:Exemplos,Negativos:Perguntas,Negativos:Vídeos,Negativos:Gestão de Equipa,Negativos:Acesso a recursos externos,Quanto aprendeu com a DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
4,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Imenso,5.0
4,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Alguma coisa,3.0
2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,Alguma coisa,3.0
4,0,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,Bastante,4.0
1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,Nada,1.0
3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bastante,4.0
3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,Pouco,2.0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Alguma coisa,3.0
2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Pouco,2.0
3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bastante,4.0
3,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,Imenso,5.0
3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Bastante,4.0
3,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,Bastante,4.0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Imenso,5.0
4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Bastante,4.0
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,Alguma coisa,3.0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Bastante,4.0
4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Alguma coisa,3.0
4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Bastante,4.0
4,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,Imenso,5.0
4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Imenso,5.0
2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,Alguma coisa,3.0
4,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,Bastante,4.0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Nada,1.0
4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Bastante,4.0
3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,Bastante,4.0
3,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,Bastante,4.0
2,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Alguma coisa,3.0
4,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,Imenso,5.0
2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Alguma coisa,3.0
4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,Bastante,4.0
3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Alguma coisa,3.0
3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,Bastante,4.0
2,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Pouco,2.0
4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,Imenso,5.0
3,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,Bastante,4.0
4,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,Alguma coisa,3.0
4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Imenso,5.0
3,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,Imenso,5.0
3,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Alguma coisa,3.0
4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,Bastante,4.0
4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Bastante,4.0
4,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,Alguma coisa,3.0
4,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Bastante,4.0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alguma coisa,3.0
4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Alguma coisa,3.0
4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Bastante,4.0
3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Pouco,2.0
1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,Imenso,5.0
3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Alguma coisa,3.0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,Nada,1.0
4,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,Alguma coisa,3.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nada,1.0
3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,Bastante,4.0
3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,Bastante,4.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bastante,4.0
4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Imenso,5.0
3,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,Alguma coisa,3.0
3,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Alguma coisa,3.0
4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Bastante,4.0
2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Alguma coisa,3.0
3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pouco,2.0
2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Pouco,2.0
4,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,Bastante,4.0
3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,Alguma coisa,3.0
4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bastante,4.0
4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Bastante,4.0
4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Bastante,4.0
2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Imenso,5.0
4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Alguma coisa,3.0
3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Bastante,4.0
3,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,Alguma coisa,3.0
3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Bastante,4.0
4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Bastante,4.0
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Bastante,4.0
4,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,Bastante,4.0
4,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,Bastante,4.0
4,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,Bastante,4.0
4,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,Alguma coisa,3.0
3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,Alguma coisa,3.0
3,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,Pouco,2.0
3,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,Imenso,5.0
3,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,Alguma coisa,3.0
3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Bastante,4.0
4,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,Bastante,4.0
3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,Bastante,4.0
3,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,Bastante,4.0
4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Bastante,4.0
3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,Alguma coisa,3.0
2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Alguma coisa,3.0
3,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,Alguma coisa,3.0
3,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,Bastante,4.0
4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Bastante,4.0
4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,Bastante,4.0
4,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,Imenso,5.0
