"Está satisfeito com a ferramenta DreamShaper?(Classifique de 1 a 4, sendo 1: Nada satisfeito e 4: Muito Satisfeito)",Quais são os seus 3 aspectos preferidos da ferramenta ? Aspecto Visual,Quais são os seus 3 aspectos preferidos da ferramenta ? Navegação na Ferramenta,Quais são os seus 3 aspectos preferidos da ferramenta ? Perguntas,Quais são os seus 3 aspectos preferidos da ferramenta ? Exemplos,Quais são os seus 3 aspectos preferidos da ferramenta ? Vídeos,Quais são os seus 3 aspectos preferidos da ferramenta ? Modelo de Negócios,Quais são os seus 3 aspectos preferidos da ferramenta ? Indicações de Interface,Quais são os seus 3 aspectos preferidos da ferramenta ? Mural de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ?  Gestão de equipa,Quais são os seus 3 aspectos preferidos da ferramenta ? Gestão de projectos,Quais são os seus 3 aspectos preferidos da ferramenta ? Outros,Unnamed: 12,E quais são os 3 aspectos que menos gosta? Aspecto visual,E quais são os 3 aspectos que menos gosta? Navegação na ferramenta,E quais são os 3 aspectos que menos gosta? Perguntas,E quais são os 3 aspectos que menos gosta? Exemplos,E quais são os 3 aspectos que menos gosta? Vídeos,E quais são os 3 aspectos que menos gosta? Modelo de Negócios,E quais são os 3 aspectos que menos gosta? Indicações de interface,E quais são os 3 aspectos que menos gosta? Mural de equipa,E quais são os 3 aspectos que menos gosta? Gestão de equipa,E quais são os 3 aspectos que menos gosta? Gestão de projectos,E quais são os 3 aspectos que menos gosta? Outros,Unnamed: 24,Quanto aprendeu com a DreamShaper?,Unnamed: 26,Em que etapa do concurso sentiu mais dificuldade?,Está satisfeito com a ferramenta DreamShaper?,Quanto aprendeu com a DreamShaper?Encod
3.0,0,1,1,0,0,0,0,0,0,0,,,0,0,0,1,1,0,0,1,0,0,,,Alguma coisa,,Etapa 3,3.0,3.0
4.0,0,0,1,1,1,1,0,0,0,0,,,1,0,0,0,0,0,1,1,0,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,0,1,0,1,0,1,0,0,0,1,,,1,0,0,0,0,0,0,1,1,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,1,1,0,0,0,0,0,0,0,1,,,0,0,1,0,1,0,0,1,0,0,,,Bastante,,Etapa 2,3.0,4.0
4.0,0,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,,Imenso,,Etapa 2,4.0,5.0
3.0,0,0,0,1,0,1,1,0,0,0,,,0,1,1,0,0,0,0,0,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
2.0,1,0,0,0,1,1,0,0,0,0,,,0,0,1,1,0,0,1,0,0,0,,,Alguma coisa,,Etapa 4,2.0,3.0
3.0,0,0,1,1,0,1,0,0,0,1,,,0,0,0,0,1,0,1,1,0,0,,,Bastante,,Etapa 4,3.0,4.0
3.0,1,1,0,1,0,0,0,0,0,0,,,0,0,0,0,1,0,1,0,0,1,,,Pouco,,Etapa 1,3.0,2.0
4.0,0,1,1,0,0,1,0,0,0,0,,,1,0,0,0,0,0,1,1,0,0,,,Imenso,,Etapa 4,4.0,5.0
4.0,0,1,0,1,0,0,1,0,0,0,,,1,0,0,0,0,0,0,1,1,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,1,0,1,0,1,0,0,0,0,,,0,0,0,0,0,0,1,1,0,0,,,Alguma coisa,,Etapa 4,4.0,3.0
2.0,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,1,0,0,1,,,Alguma coisa,,Etapa 3,2.0,3.0
3.0,1,0,0,0,1,0,0,0,0,1,,,0,0,1,1,0,1,0,0,0,0,,,Bastante,,Etapa 3,3.0,4.0
4.0,0,0,0,1,0,1,0,0,0,1,,,0,1,1,0,0,0,1,0,0,0,,,Alguma coisa,,Etapa 4,4.0,3.0
4.0,0,1,0,1,0,1,0,0,1,1,,,0,0,1,0,0,0,1,1,0,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
3.0,1,0,0,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,,,Bastante,,Etapa 3,3.0,4.0
3.0,1,0,0,1,1,0,0,0,0,0,,,0,0,1,0,0,1,1,0,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
1.0,1,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,0,0,"Deu erro e nunca consegui ter solução para o mesmo, mesmo após contacto com a equipa.",,Pouco,,Etapa 3,1.0,2.0
4.0,1,1,0,0,0,0,1,0,0,0,,,0,0,0,0,0,0,0,1,1,1,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,3.0
3.0,1,0,0,0,0,1,0,0,1,1,,,0,1,0,1,0,0,1,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,1,1,1,0,1,1,1,0,1,1,,,0,0,0,1,0,0,0,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,1,1,1,1,1,1,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,,Imenso,,Etapa 4,3.0,5.0
2.0,0,0,1,1,0,0,0,0,0,0,,,0,1,0,0,0,0,1,0,0,0,"não foi facil a navegação, pois estava sozinha",,Alguma coisa,,Etapa 2,2.0,3.0
3.0,0,1,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
2.0,1,0,0,0,0,0,0,0,0,0,,,0,1,0,0,0,0,1,0,0,1,,,Pouco,,Etapa 2,2.0,2.0
2.0,1,0,0,0,0,1,0,0,0,1,,,0,1,0,0,0,0,1,0,0,0,Oa testes e protótipos não permitem espelhar a realidade e não são totalmente adaptáveis a determinada situações.,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,3.0
4.0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,1,0,0,0,0,0,0,0,0,,,0,0,0,1,1,0,0,0,0,0,"Quando o vídeo dizia que se poderia aprender mais no tutorial, não sabia onde estava o mesmo",,Alguma coisa,,Etapa 2,4.0,3.0
3.0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,,,Alguma coisa,,Etapa 3,3.0,3.0
3.0,0,0,0,0,0,0,0,0,0,0,não explorei a ferramenta,,0,0,0,0,0,0,0,0,0,0,não explorei ainda a ferramenta,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
4.0,0,0,0,1,0,1,0,0,0,1,,,1,0,0,0,0,0,1,0,1,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,1,1,0,0,1,0,0,0,0,1,,,0,0,0,1,0,0,1,1,0,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,1,0,0,1,1,1,0,0,0,0,,,0,0,1,0,0,0,1,0,1,0,,,Imenso,,,4.0,5.0
3.0,1,0,0,1,1,0,1,0,0,0,,,0,1,0,0,0,0,0,1,0,1,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
4.0,0,0,0,0,1,1,0,0,0,1,,,0,1,1,0,0,0,1,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,1,0,1,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,nada,,Alguma coisa,,Etapa 4,4.0,3.0
4.0,0,0,0,0,0,1,1,0,0,1,,,0,0,1,1,0,0,0,1,0,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,1,0,0,0,0,0,1,0,1,1,,,1,0,1,0,0,0,1,0,0,0,,,Alguma coisa,,Etapa 3,3.0,3.0
2.0,1,0,0,0,0,0,0,1,1,0,,,0,1,0,0,0,1,1,0,0,0,,,Pouco,,Etapa 2,2.0,2.0
3.0,1,0,0,1,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,,,Alguma coisa,,,3.0,3.0
3.0,0,0,0,1,0,1,0,0,0,1,,,0,1,1,0,0,0,0,0,0,0,"Não permite explicar bem o projeto, está muito formatado para outro tipo de empresas que não do setor da saúde e educação.",,Bastante,,Etapa 3,3.0,4.0
3.0,1,0,0,0,0,1,0,0,1,1,,,0,0,0,0,1,0,0,0,0,0,,,Alguma coisa,,,3.0,3.0
2.0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,1,,,Alguma coisa,,Etapa 4,2.0,3.0
4.0,1,1,0,1,0,1,0,0,0,0,,,0,0,0,1,0,0,0,0,1,1,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
4.0,0,1,0,1,0,0,0,0,0,1,,,0,0,1,0,1,0,0,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
2.0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,1,0,0,0,0,,,Alguma coisa,,Etapa 4,2.0,3.0
3.0,0,0,0,0,0,1,0,0,0,1,,,0,0,0,1,0,0,1,1,0,0,,,Bastante,,,3.0,4.0
4.0,0,1,0,0,0,1,1,0,0,1,,,1,0,0,1,1,0,0,0,0,0,,,Bastante,,Etapa 3,4.0,4.0
4.0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,0,1,0,0,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,0,0,1,1,1,1,0,0,1,,,1,1,0,0,0,0,0,0,1,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,0,1,0,0,0,1,0,0,0,1,,,1,0,0,0,0,0,0,1,0,0,"Contacto pouco ""humano""",,Bastante,,Etapa 4,3.0,4.0
3.0,1,1,0,1,0,1,0,0,1,1,,,0,0,1,0,0,0,1,1,0,0,,,Alguma coisa,,Etapa 3,3.0,3.0
3.0,1,0,0,0,1,0,0,0,0,0,,,0,0,1,0,0,0,1,1,0,0,,,Alguma coisa,,Etapa 3,3.0,3.0
4.0,0,0,0,0,1,1,0,0,0,1,,,1,0,0,0,0,0,0,1,0,0,tempo para responderem a dúvidas,,Imenso,,Etapa 4,4.0,5.0
4.0,1,0,0,1,1,1,0,0,0,0,,,0,1,0,0,0,0,0,0,0,1,,,Bastante,,Etapa 4,4.0,4.0
2.0,1,0,1,0,0,1,0,0,0,0,,,0,0,0,1,1,1,0,0,0,0,,,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,2.0,3.0
4.0,0,0,1,0,1,1,0,1,1,1,,,0,0,0,0,0,0,0,0,0,0,não tenho opção,,Bastante,,Etapa 3,4.0,4.0
1.0,0,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,1,0,0,,,Pouco,,Etapa 4,1.0,2.0
4.0,0,0,0,1,1,1,0,0,0,0,,,1,1,0,0,0,0,1,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,1,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,1,1,0,1,,,Pouco,,Etapa 4,4.0,2.0
2.0,0,0,0,0,0,1,0,0,0,0,,,0,1,1,0,0,0,1,0,0,0,,,Alguma coisa,,Etapa 3,2.0,3.0
4.0,1,0,0,0,0,1,0,0,0,0,,,0,0,1,0,0,0,0,1,1,0,,,Imenso,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,5.0
4.0,0,0,0,1,0,0,0,0,0,1,,,1,1,0,0,0,0,0,0,0,1,,,Bastante,,Etapa 4,4.0,4.0
3.0,0,1,0,0,1,1,0,0,0,0,,,1,0,0,0,0,0,1,0,0,0,,,Alguma coisa,,Etapa 4,3.0,3.0
4.0,0,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,nada em especial,,Bastante,,Etapa 4,4.0,4.0
4.0,1,0,0,1,1,0,0,0,0,0,,,0,0,0,0,0,1,0,1,1,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,0,1,0,0,0,1,0,0,0,0,,,1,1,0,0,1,0,0,0,0,0,,,Alguma coisa,,,3.0,3.0
1.0,0,0,0,0,0,0,1,0,0,0,,,1,1,0,0,0,0,0,0,0,1,,,Nada,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,1.0,1.0
4.0,0,1,1,1,0,0,1,0,0,1,,,1,0,0,0,0,0,0,1,1,0,,,Bastante,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,4.0
3.0,0,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,"Quando se é iniciante, não é fácil acompanhar as questões específicas",,Alguma coisa,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,3.0,3.0
4.0,1,0,0,1,1,0,0,0,0,0,,,0,0,0,0,0,1,1,0,1,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,1,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,,,Alguma coisa,,Etapa 2,3.0,3.0
2.0,0,1,0,1,0,0,0,1,0,0,,,0,0,1,0,1,0,1,0,0,0,,,Alguma coisa,,Etapa 3,2.0,3.0
4.0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,1,1,0,1,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,1,1,0,1,1,1,0,0,0,0,,,0,0,0,0,0,0,1,0,1,1,,,Bastante,,Etapa 4,4.0,4.0
3.0,0,1,0,1,1,0,0,0,0,0,,,1,0,0,0,0,0,0,0,1,1,,,Alguma coisa,,Etapa 4,3.0,3.0
4.0,1,0,0,1,1,0,0,0,0,0,,,0,0,0,0,0,1,0,1,0,1,,,Imenso,,Etapa 3,4.0,5.0
4.0,0,0,1,1,0,0,0,0,0,1,,,1,0,0,0,0,0,0,0,0,0,,,Bastante,,Etapa 3,4.0,4.0
3.0,1,0,0,0,0,0,0,0,1,0,,,0,1,0,0,0,0,1,0,0,1,,,Alguma coisa,,Etapa 2,3.0,3.0
4.0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Na revisão do projeto estar faseado e ter que voltar ao menu,,Bastante,,Etapa 4,4.0,4.0
4.0,0,1,0,0,0,1,0,0,0,0,,,0,0,1,0,1,0,1,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
4.0,0,0,0,0,1,1,0,0,0,1,,,1,1,0,0,0,0,0,1,0,0,,,Imenso,,Etapa 4,4.0,5.0
3.0,0,0,0,1,1,1,0,0,0,0,,,0,1,0,0,0,0,1,0,1,0,,,Alguma coisa,,Etapa 4,3.0,3.0
4.0,0,0,1,1,1,0,0,0,0,0,,,0,0,0,0,0,0,1,0,0,0,,,Bastante,,Etapa 4,4.0,4.0
3.0,1,1,0,0,0,0,0,0,0,0,,,0,0,0,0,1,1,0,0,0,1,,,Alguma coisa,,Etapa 4,3.0,3.0
3.0,1,0,1,0,0,0,1,0,0,0,,,0,0,0,1,1,0,0,0,0,0,,,Bastante,,Etapa 4,3.0,4.0
4.0,0,1,1,1,1,1,1,1,1,1,,,1,0,0,0,0,0,0,0,0,0,,,Imenso,,Etapa 4,4.0,5.0
4.0,0,1,1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Gostei de todos os aspetos,,Bastante,,Etapa 4,4.0,4.0
4.0,1,1,0,0,1,1,0,0,0,0,Plano final elaborado. Até já imprimi,,0,0,0,0,0,0,1,1,1,0,,,Imenso,,Caso não se lembre do número exacto da etapa indique aqui as áreas em que sentiu mais dificuldade.,4.0,5.0
3.0,0,0,0,0,0,0,0,0,0,1,,,0,1,0,0,0,1,1,0,0,0,,,Bastante,,Etapa 3,3.0,4.0
2.0,1,1,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,1,0,0,1,Não funciona bem com o tablet Apple Air.,,Alguma coisa,,Etapa 2,2.0,3.0
4.0,0,1,1,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,Não há nenhum aspecto que eu não tenha gostado.,,Bastante,,Etapa 1,4.0,4.0
